ifds_SubjectDistanceRange ,Count
, 1092294
0, 229620
1, 8480
10336, 1
10576, 1
10592, 1
10688, 1
11152, 1
11200, 1
11488, 1
11552, 1
11648, 1
12048, 1
12080, 1
12672, 1
13200, 1
15408, 1
2, 16741
2464, 1
2608, 2
2736, 1
2752, 3
28128, 1
2816, 1
2832, 1
2880, 1
3, 33749
3024, 1
3152, 1
3168, 1
3312, 1
3392, 1
3408, 2
3584, 1
3696, 1
3712, 1
3728, 1
3808, 1
3920, 1
3968, 1
3984, 1
4080, 1
4544, 1
4576, 1
4736, 1
4752, 1
4848, 1
4912, 1
50960, 1
51120, 2
51392, 1
51648, 1
51808, 1
51888, 1
51984, 1
52048, 1
52208, 2
52288, 1
52400, 1
5248, 1
52496, 1
52720, 1
52784, 1
53088, 1
53152, 1
53216, 1
5360, 1
5664, 1
5888, 1
5920, 1
5952, 1
6000, 1
6016, 1
6048, 1
6080, 1
6128, 1
6176, 1
6192, 1
6224, 1
6256, 1
6416, 1
6496, 2
6848, 1
6896, 1
6928, 1
7040, 1
7200, 1
7264, 1
7376, 1
7392, 1
7456, 1
7504, 1
7568, 1
7584, 1
7632, 1
7936, 2
7952, 1
7984, 1
8000, 1
8080, 1
8096, 1
8176, 2
8496, 1
8656, 1
9280, 1
9984, 1
