ifds_WhiteBalance ,Count
, 165318
10160, 2
10272, 1
10368, 1
10448, 1
10464, 3
10528, 1
10576, 1
10624, 1
10640, 2
10656, 1
10672, 1
10688, 1
10736, 1
10864, 1
10896, 1
10976, 1
11024, 1
11072, 1
11152, 1
11184, 1
11232, 1
11248, 1
11360, 2
11488, 3
11568, 1
11728, 1
11744, 2
11824, 1
11872, 3
11936, 1
11968, 1
12000, 1
12208, 1
12624, 1
13280, 1
13520, 1
13600, 1
13808, 1
14304, 1
14448, 1
16128, 1
19584, 1
2, 4
2336, 1
2496, 1
2544, 1
2608, 1
2624, 3
2688, 1
2720, 1
2736, 1
2752, 2
2832, 1
2848, 1
2864, 1
2896, 2
2944, 1
29440, 6
3008, 1
3024, 1
3072, 3
3104, 1
3280, 1
3344, 1
3376, 1
3392, 1
3408, 1
3424, 1
3456, 1
3504, 2
3552, 1
3616, 4
3648, 1
3664, 1
3680, 2
3696, 2
3728, 1
3792, 1
3824, 2
3856, 1
3872, 2
3920, 1
3952, 1
4, 12
4416, 3
4448, 1
4576, 1
4624, 1
4720, 3
4736, 3
4816, 1
4864, 1
4912, 1
4992, 1
5, 3
5024, 1
5040, 1
50832, 1
50992, 2
5120, 1
51264, 1
51520, 1
5168, 1
51680, 1
51760, 1
5184, 3
51856, 1
51920, 1
5200, 2
52080, 2
52160, 1
52272, 1
5232, 2
52368, 1
52592, 1
52656, 1
52960, 1
53024, 1
53088, 1
5344, 1
5376, 1
5440, 1
5472, 1
5488, 1
5520, 1
5536, 2
5600, 2
5632, 3
5664, 2
5680, 1
57008, 1
5760, 1
5792, 1
5824, 1
5872, 1
5920, 1
5952, 1
5968, 2
6000, 1
6048, 1
6064, 2
6096, 2
6128, 1
61360, 1
61376, 2
6288, 1
6336, 3
6368, 2
6400, 1
6464, 1
6512, 1
65184, 1
6544, 1
6592, 1
6656, 1
6688, 1
6720, 1
6768, 2
6800, 1
6864, 1
6880, 1
6912, 1
7008, 1
7024, 1
7040, 1
7072, 1
7104, 1
7120, 2
7136, 1
7168, 1
7216, 1
7248, 2
7264, 1
7328, 2
7376, 3
7408, 1
7440, 4
7456, 1
7488, 2
7504, 3
7568, 1
7600, 2
7616, 1
7808, 2
7824, 1
7856, 1
7872, 1
7904, 2
7936, 1
7952, 2
7968, 1
7984, 1
8000, 1
8112, 1
8512, 4
8688, 1
8736, 1
8816, 1
8832, 1
8928, 1
8992, 1
9008, 1
9136, 1
9152, 1
9264, 1
9296, 1
9312, 1
9488, 1
9600, 1
9856, 2
9952, 1
9968, 1
Auto white balance, 1098581
Manual white balance, 116794
