ifds_bit ,Count
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 2601
0000000000000000000000000000000000000000000000000000000000000000000000000010000000000, 8
0000000000000000000000000000000000000000000000000000000011100000000000000000000000000, 172
0000000000000000000000000000000000000001000000000000000011100000000000000000000000000, 270
0000000000000000000000000000000000000001000000000010000000000000000000000010000000000, 2
0000000000000000000000000000000000000111000000000000000000000000000000000010000000000, 1
0000000000000000000000000000000000000111100000000000000000000000000000000010000000000, 4
0000000000000000000000000000100000000000000000000000000000000000000000000000000000000, 609
0000000000000000000000000001100000000000000000000000000000000000000000000000000000000, 152
0000000000000000000000000001100000000000000000000000000001100000000000000000000000000, 17
0000000000000000000000000001100000000000000000000000000011100000000000000000000000000, 23
0000000000000000000000000001100000000000000000000000011000000000000000000000000000000, 24
0000000000000000000000000001100000000000000000000001000000000000000000000000000000000, 89
0000000000000000000000000001100000000001000000000000000011100000000000000000000000000, 337
0000000000000000000000000010000000000000000000000000000000000000010000000000000000000, 22
0000000000000000000000000010010000000000000000000000000111100000000000000000000000000, 935
0000000000000000000000000010010000000000000000000000000111100000000000000000010000000, 16
0000000000000000000000000010010000000000000000000000000111100000000001000000000000000, 7
0000000000000000000000000010010000000000000000000000000111100000010000000000000000000, 27
0000000000000000000000000010010000000000000000000000000111101000000000000000000000000, 11
0000000000000000000000000010010000000000000000000000000111101000010000000000000000000, 493
0000000000000000000000000010010000000000000000000001000111100000000000000000000000000, 65
0000000000000000000000000010010000000000000000000010000111100000000000000000000000000, 53
0000000000000000000000000010010000000000000000000010000111100000000000000000010000000, 6
0000000000000000000000000010010000000000000000000010000111100000000000001111010000000, 11
0000000000000000000000000010010000000000000000000011000111100000000000000000000000000, 4
0000000000000000000000000010010000000000100000010001000111100000000000000000000000000, 13
0000000000000000000000000010010000000001000000000000000111100000000000000000010000000, 83
0000000000000000000000000010100000000000000000000000000001100000000000000000000000000, 6
0000000000000000000000000010100000000000000000000000000001101000000000000000000000000, 68
0000000000000000000000000010110000000000001000000000000111100001110000000000000000000, 553
0000000000000000000000000010110000000000001100000010000111101000000001100000000000000, 168
0000000000000000000000000011000000000000000000000000000000000000000000000000000000000, 60
0000000000000000000000000011000000000000000000000000000100000000000000000000000000000, 1
0000000000000000000000000011000000000000000000000000000111100000000000000000000000000, 11
0000000000000000000000000011000000000000000000000000000111101000000000000000000000000, 153
0000000000000000000000000011000000000000000000000000000111101000000000000100000000000, 470
0000000000000000000000000011000000000001000000000000000001100000000000000000000000000, 309
0000000000000000000000000011000000000001000000000000000011100000000000000000000000000, 64
0000000000000000000000000011000000000001000000000000000011101000000000000000000000000, 150
0000000000000000000000000011010000000000000000000000000011100000000000000000000000000, 1886
0000000000000000000000000011010000000000000000000000000110000000000000000000000000000, 18
0000000000000000000000000011010000000000000000000000000111100000000000000000000000000, 15
0000000000000000000000000011010000000000000000000000000111100000000000000000000011100, 34
0000000000000000000000000011010000000000100000000000000111100000000000000000000000000, 1
0000000000000000000000000011100000000000000000000000000011100000000000000000000000000, 1
0000000000000000000000000011100000000000000000000000000011101000000000000000000000000, 99
0000000000000000000000000011100000000000000000000000000100000000000000000000000000000, 1
0000000000000000000000000011100000000000000000000000011100000000000000000000000000000, 2
0000000000000000000000000011100000000001000000000000000011100000000000000000000000000, 573
0000000000000000000000000011100000000001000000000001000011100000000000000000000000000, 9
0000000000000000000000000011100000100101000000000010000011100000000000000000000000000, 3
0000000000000000000000000011100000100101000000000010000011100000000000000110010000000, 173
0000000000000000000000000011110000000000000000000000000110000000000000000000000000000, 13
0000000000000000000000000011110000000000000000000000000111100000000000000000000000000, 1012
0000000000000000000000000011110000000000000000000000000111100000000000000000010000000, 493
0000000000000000000000000011110000000000000000000000000111100000000000000010000000000, 9
0000000000000000000000000011110000000000000000000000000111100000000000001111010000000, 735
0000000000000000000000000011110000000000000000000000000111100000000001100000000000000, 4
0000000000000000000000000011110000000000000000000000000111100000010000000000000000000, 228
0000000000000000000000000011110000000000000000000000000111100001110000000000000000000, 1
0000000000000000000000000011110000000000000000000000000111100001110001000000000000000, 22
0000000000000000000000000011110000000000000000000000000111101000000000000000000000000, 5363
0000000000000000000000000011110000000000000000000000000111101000000000000010000000000, 1
0000000000000000000000000011110000000000000000000000000111101000000000100000000000000, 1
0000000000000000000000000011110000000000000000000000000111101000000001100000000000000, 261
0000000000000000000000000011110000000000000000000000000111101000000001100010000000000, 1199
0000000000000000000000000011110000000000000000000000000111101000010000000000000000000, 2843
0000000000000000000000000011110000000000000000000000000111101001110000000000000000000, 52
0000000000000000000000000011110000000000000000000000000111101001110001000000000000000, 18
0000000000000000000000000011110000000000000000000000100111101000000000000000000000000, 1
0000000000000000000000000011110000000000000000000001000111100000000000000000000000000, 430
0000000000000000000000000011110000000000000000000001000111100000000000001000000000000, 1
0000000000000000000000000011110000000000000000000001000111101000000000000000000000000, 2
0000000000000000000000000011110000000000000000000010000011101000000000000000000000000, 1
0000000000000000000000000011110000000000000000000010000111100000000000000000000000000, 20
0000000000000000000000000011110000000000000000000010000111100000000000000000010000000, 1
0000000000000000000000000011110000000000000000000010000111100000000000001111010000000, 317
0000000000000000000000000011110000000000000000000010000111100000000001100000000000000, 352
0000000000000000000000000011110000000000000000000010000111101000000000000000000000000, 1195
0000000000000000000000000011110000000000000000000010000111101000000000001111010000000, 11
0000000000000000000000000011110000000000000000000010000111101000000001100000000000000, 103
0000000000000000000000000011110000000000000000000011000111100000000000000000000000000, 3
0000000000000000000000000011110000000000000000000011000111100000000000001000000000000, 456
0000000000000000000000000011110000000000000000000011000111101000000000000000000000000, 40
0000000000000000000000000011110000000000000000000011000111101000000000001000000000000, 211
0000000000000000000000000011110000000000000000000011000111101000000001000000000000000, 33
0000000000000000000000000011110000000000000000000011000111101000000001001000000000000, 1
0000000000000000000000000011110000000000000000000011000111101000000001001010000000000, 1
0000000000000000000000000011110000000000000000000011000111101000000001100000000000000, 7
0000000000000000000000000011110000000000000000000011000111101001110000001000000000000, 1
0000000000000000000000000011110000000000000100000010000111101000000001100000000000000, 112
0000000000000000000000000011110000000000001000000000000111100001110000000000000000000, 2
0000000000000000000000000011110000000000001000000010000111101000000001100000000000000, 694
0000000000000000000000000011110000000000001100000010000111100000000001100000000000000, 10
0000000000000000000000000011110000000000001100000010000111101000000001100000000000000, 3252
0000000000000000000000000011110000000000100000000000000111100000000000000000000000000, 14
0000000000000000000000000011110000000000100000000000000111101000000000000000000000000, 1273
0000000000000000000000000011110000000000100000000000000111101000000000000000010000000, 30
0000000000000000000000000011110000000001000000000000000111100000000000000000010000000, 1250
0000000000000000000000000011110000000001000000000000000111101000000000000000000000000, 3
0000000000000000000000000011110000000001000000000010000111101000000000000010000000000, 1
0000000000000000000000000011110000000001000000000010000111101000000000001110010000000, 29
0000000000000000000000000011110000000011000000000000000111101000000000000111011000000, 9
0000000000000000000000000011110000000111000000000000000111101000000000001001010000010, 31
0000000000000000000000000011110000100001000000000000000011100000000000000000000000000, 370
0000000000000000000000000011110000100001000000000001000011100000000000000000000000000, 8
0000000000000000000000000011110000100101000000000010000111101000000000000110010000000, 174
0000000000000000000000000011110001000001000000000010000111100000000001100000000000000, 40
0000000000000000000000000011110001000001000000000010000111101000000001100000000000000, 2
0000000000000000000000000011110001000001001100000010000111101000000001100000000000000, 383
0000000000000000000000000011110100000001100000000011000111101000000000000000000000000, 3
0000000000000000000000000011110110100000100000000011000111100001110000000000000000000, 99
0000000000000000000000000011110110100000100000000011000111101001110000000000000000000, 28
0000000000000000000000000011110110100000100000000011000111101001110000001000000000000, 17
0000000000000000000000000011111000000000000000000000000111100000000000000000000000000, 21
0000000000000000000000000011111000000000000000000000000111101000000000000000000000000, 385
0000000000000000000000000011111000000001000000000000000111100000000000000000000000000, 1
0000000000000000000000000011111000000001000000000000000111101000000000000110010000000, 1459
0000000000000000000000000011111000000101000000000000000000000000000000000000000000000, 2
0000000000000000000000000011111110100101100000000000000111101000000000000000000000000, 3
0000000000000000000000000011111110111101100000000011000111100001110011000000000000000, 1
0000000000000000000000000011111110111101100000000011000111101001110011000000000000000, 9
0000000000000000000000000011111111110011100000000011000111100000000000000000000000000, 41
0000000000000000000000000011111111110011100000000011000111101000000000000000000000000, 109
0000000000000000000000001011110000000000100000000000000111101000000000000000000000000, 6
0000000000000000000001000000000000000110100000000000000000000000000000000000000000000, 1
0000000000000000000001000010110000000000100000000000000111101000000000000000000000000, 3
0000000000000000000001000011110000000000000000000000000011101000000001000000010000000, 2
0000000000000000000001000011110000000000000000000000000111101000000000000000000000000, 2119
0000000000000000000001000011110000000000000000000000000111101000000000000000010000000, 1
0000000000000000000001000011110000000000000000000000000111101000000001100010000000000, 33
0000000000000000000001000011110000000000100000000000000111100000000000000000000000000, 10
0000000000000000000001000011110000000000100000000000000111100000000000000000000000001, 1
0000000000000000000001000011110000000000100000000000000111101000000000000000000000000, 7004
0000000000000000000001000011110000000001000000000000000111101000000000000010000000000, 8
0000000000000000000001000011110000000001100000000000000111101000000000000000000000000, 178
0000000000000000000001000011110000100000000000000000000111100000000001100000000000000, 9
0000000000000000000001000011110000100000000000000000000111101000000001100010000000000, 307
0000000000000000000001000011110000100000100000000000000111101000000000000000000000000, 81
0000000000000000000001000011110000100001000000000000000111100000000001100000000000000, 1
0000000000000000000001000011110000100001000000000000000111101000000001100010000000000, 1907
0000000000000000000001000011110000100001000000000001000111101000000001100010000000000, 21
0000000000000000000001000011110010000001000000000001000011100000000000000000000000000, 4
0000000000000000000001000011110010000001000000000001000111100000000000000000000000000, 2
0000000000000000000001000011110010000001000000000001000111100000000000000000010000000, 82
0000000000000000000001000011110010000001100000000001000111100000000000000000000000000, 4
0000000000000000000001000011110010000001100000000001000111100000000000000000010000000, 151
0000000000000000000001000011110100000000100000000000000111101000000000000000000000000, 8
0000000000000000000001000011110100000101100000000010000111100000000000000000000000000, 7
0000000000000000000001000011110100100000100000000011000111101001110000000000000000000, 1
0000000000000000000001000011110110100000100000000011000111100001110000000000000000000, 4
0000000000000000000001000011110110100000100000000011000111101001110000000000000000000, 21
0000000000000000000001000011110110100001000000000011000111101000000000001000000000000, 5
0000000000000000000001000011110110100001100000000011000111101001110001001110010000000, 1
