marker_order ,Count
1:11:2:12:3:4:5:9:6:7, 1
1:11:2:3:3:4:5:5:5:5:6:7, 2
1:11:2:3:5:4:6:7, 74
1:11:2:3:9:4:5:6:7, 1
1:11:8:2:3:3:4:5:5:5:5:6:7, 8
1:2:10:10:3:3:4:5:5:5:5:6, 1
1:2:10:10:3:3:4:5:5:5:5:6:7, 97
1:2:10:10:3:5:4:6:6, 1
1:2:10:10:3:5:4:6:7, 1989
1:2:10:3:3:4:5:5:5:5:6:7, 3
1:2:10:3:5:4:6:7, 334
1:2:11:11:5:3:4:6:7, 2
1:2:11:14:3:5:4:6:7, 26
1:2:11:2:3:3:4:5:5:5:5:6:7, 1
1:2:11:3:3:11:5:4:6:7, 1
1:2:11:3:3:4:5:5:5:5:6:7, 312
1:2:11:3:3:5:4:6:7, 4
1:2:11:3:4:5:6:7, 112
1:2:11:3:4:5:9:6:7, 644
1:2:11:3:5:4:6:6, 1
1:2:11:3:5:4:6:7, 1068
1:2:11:3:5:9:4:6:7, 1
1:2:11:4:3:5:11:6:7, 1
1:2:11:4:3:5:5:5:5:6:7, 3
1:2:11:4:3:5:6:7, 18
1:2:11:5:11:3:4:6:7, 1
1:2:11:5:3:4:6:7, 29
1:2:11:8:3:3:4:5:5:5:5:21:6:7, 369
1:2:12:10:10:10:10:10:10:3:5:4:6:7, 2
1:2:12:10:3:3:4:5:5:5:5:6:7, 16
1:2:12:10:3:5:4:6:7, 930
1:2:12:12:10:10:10:10:3:5:4:6:7, 113
1:2:12:12:12:10:10:3:5:4:6:7, 7
1:2:12:12:12:12:12:12:12:12:12:12:12:12:3:3:3:4:5:5:5:5:6:7, 2
1:2:12:12:12:12:12:12:12:12:12:12:12:12:3:4:5:9:6:7, 3
1:2:12:12:12:12:12:12:12:12:12:12:12:12:3:9:4:5:6:7, 2
1:2:12:12:12:12:12:12:12:12:12:12:12:3:3:3:4:5:5:5:5:6:7, 8
1:2:12:12:12:12:12:12:12:12:12:12:12:3:4:5:6:7, 5
1:2:12:12:12:12:12:12:12:12:12:12:12:3:4:5:9:6:7, 2
1:2:12:12:12:12:12:12:12:12:12:12:12:3:9:4:5:6:7, 53
1:2:12:12:12:12:12:12:12:12:12:12:3:3:3:4:5:5:5:5:6:7, 18
1:2:12:12:12:12:12:12:12:12:12:12:3:3:4:5:5:5:5:6:7, 1
1:2:12:12:12:12:12:12:12:12:12:12:3:4:5:6:7, 35
1:2:12:12:12:12:12:12:12:12:12:12:3:4:5:9:6:7, 6
1:2:12:12:12:12:12:12:12:12:12:12:3:5:4:6:7, 1
1:2:12:12:12:12:12:12:12:12:12:12:3:9:4:5:6:7, 118
1:2:12:12:12:12:12:12:12:12:12:18:3:4:5:6:7, 4
1:2:12:12:12:12:12:12:12:12:12:3:3:3:4:5:5:5:5:6:7, 1
1:2:12:12:12:12:12:12:12:12:12:3:4:5:6:7, 55
1:2:12:12:12:12:12:12:12:12:12:3:4:5:9:6:7, 31
1:2:12:12:12:12:12:12:12:12:12:3:9:4:5:6:7, 13
1:2:12:12:12:12:12:12:12:12:18:12:12:3:5:4:6:7, 3
1:2:12:12:12:12:12:12:12:12:18:3:4:5:6:7, 2
1:2:12:12:12:12:12:12:12:12:3:4:5:6:7, 128
1:2:12:12:12:12:12:12:12:12:3:4:5:9:6:7, 98
1:2:12:12:12:12:12:12:12:12:3:9:4:5:6:7, 1
1:2:12:12:12:12:12:12:12:18:12:12:12:3:3:4:5:5:5:5:6:7, 1
1:2:12:12:12:12:12:12:12:18:3:4:5:6:7, 4
1:2:12:12:12:12:12:12:12:18:3:5:4:6:7, 1
1:2:12:12:12:12:12:12:12:3:3:4:5:5:5:5:6:7, 5
1:2:12:12:12:12:12:12:12:3:4:5:6:7, 264
1:2:12:12:12:12:12:12:12:3:4:5:9:6:7, 227
1:2:12:12:12:12:12:12:12:3:5:4:6:7, 48
1:2:12:12:12:12:12:12:18:12:12:12:12:3:3:4:5:5:5:5:6:7, 1
1:2:12:12:12:12:12:12:18:12:12:12:12:3:5:4:6:7, 3
1:2:12:12:12:12:12:12:18:12:3:5:4:6:7, 1
1:2:12:12:12:12:12:12:18:3:4:5:6:7, 14
1:2:12:12:12:12:12:12:19:3:4:5:9:6:7, 3
1:2:12:12:12:12:12:12:3:3:4:5:5:5:5:6:7, 7
1:2:12:12:12:12:12:12:3:4:5:6:7, 504
1:2:12:12:12:12:12:12:3:4:5:9:6:7, 497
1:2:12:12:12:12:12:12:3:5:4:6:7, 250
1:2:12:12:12:12:12:12:8:3:3:5:5:5:5:4:9:6:7, 12
1:2:12:12:12:12:12:13:13:13:3:5:5:5:5:4:9:6:7, 8
1:2:12:12:12:12:12:13:13:3:5:4:9:6:7, 1
1:2:12:12:12:12:12:18:12:12:12:12:12:3:5:4:6:7, 1
1:2:12:12:12:12:12:18:12:12:12:12:3:5:4:6:7, 2
1:2:12:12:12:12:12:18:12:12:3:5:4:6:7, 22
1:2:12:12:12:12:12:18:12:3:3:4:5:5:5:5:6:7, 1
1:2:12:12:12:12:12:18:12:3:4:5:9:6:7, 82
1:2:12:12:12:12:12:18:12:3:5:4:6:7, 11
1:2:12:12:12:12:12:18:3:4:5:6:7, 18
1:2:12:12:12:12:12:19:3:4:5:9:6:7, 60
1:2:12:12:12:12:12:3:3:4:5:5:5:5:6:7, 17
1:2:12:12:12:12:12:3:4:5:6:7, 1341
1:2:12:12:12:12:12:3:4:5:9:6:7, 854
1:2:12:12:12:12:12:3:5:4:6:7, 269
1:2:12:12:12:12:12:8:3:3:5:5:5:5:4:9:6:7, 83
1:2:12:12:12:12:18:12:12:12:12:12:3:5:4:6:7, 9
1:2:12:12:12:12:18:12:12:12:12:3:5:4:6:7, 2
1:2:12:12:12:12:18:12:12:12:3:5:4:6:7, 17
1:2:12:12:12:12:18:12:12:3:5:4:6:7, 79
1:2:12:12:12:12:18:12:3:3:4:5:5:5:5:6:7, 1
1:2:12:12:12:12:18:12:3:4:5:9:6:7, 329
1:2:12:12:12:12:18:3:4:5:6:7, 7
1:2:12:12:12:12:18:3:4:5:9:6:7, 3
1:2:12:12:12:12:18:3:5:4:6:7, 25
1:2:12:12:12:12:19:3:4:5:9:6:7, 198
1:2:12:12:12:12:3:3:4:5:5:5:5:6:7, 38
1:2:12:12:12:12:3:4:5:6:7, 3028
1:2:12:12:12:12:3:4:5:9:6:7, 875
1:2:12:12:12:12:3:5:4:6:7, 250
1:2:12:12:12:12:5:3:9:4:6:7, 363
1:2:12:12:12:12:8:3:3:5:5:5:5:4:9:6:7, 68
1:2:12:12:12:18:12:12:12:12:12:12:3:5:4:6:7, 4
1:2:12:12:12:18:12:12:12:12:12:3:5:4:6:7, 5
1:2:12:12:12:18:12:12:12:3:5:4:6:7, 15
1:2:12:12:12:18:12:3:3:4:5:5:5:5:6:7, 1
1:2:12:12:12:18:12:3:4:5:9:6:7, 79
1:2:12:12:12:18:3:3:4:5:5:5:5:6:7, 58
1:2:12:12:12:18:3:4:5:9:6:7, 141
1:2:12:12:12:18:3:4:9:5:6:7, 450
1:2:12:12:12:18:3:5:4:6:6, 1
1:2:12:12:12:18:3:5:4:6:7, 375
1:2:12:12:12:18:3:9:5:4:6:7, 50
1:2:12:12:12:18:4:3:5:9:6:7, 150
1:2:12:12:12:19:3:4:5:9:6:7, 81
1:2:12:12:12:3:3:3:4:5:5:5:5:6:7, 8
1:2:12:12:12:3:3:4:5:5:5:5:6:7, 468
1:2:12:12:12:3:4:5:6:7, 1117
1:2:12:12:12:3:4:5:9:6:7, 1442
1:2:12:12:12:3:4:9:5:6, 3
1:2:12:12:12:3:4:9:5:6:6, 1
1:2:12:12:12:3:4:9:5:6:7, 2417
1:2:12:12:12:3:5:4:6, 1
1:2:12:12:12:3:5:4:6:7, 4562
1:2:12:12:12:3:5:5:5:5:4:9:6:7, 147
1:2:12:12:12:3:5:9:4:6:7, 477
1:2:12:12:12:3:9:4:5:6, 6
1:2:12:12:12:3:9:4:5:6:6, 1
1:2:12:12:12:3:9:4:5:6:7, 5258
1:2:12:12:12:4:3:5:9:6:7, 870
1:2:12:12:12:4:5:5:5:5:3:3:9:6:7, 2
1:2:12:12:12:5:3:9:4:6:7, 2426
1:2:12:12:12:8:3:3:5:5:5:5:4:9:6:7, 4
1:2:12:12:18:10:10:10:3:3:4:5:5:5:5:6:7, 1
1:2:12:12:18:10:10:10:3:5:4:6:7, 96
1:2:12:12:18:3:3:4:5:5:5:5:6:7, 29
1:2:12:12:18:3:5:4:6:7, 127
1:2:12:12:3:3:3:4:5:5:5:5:6:7, 14
1:2:12:12:3:3:4:5:5:5:5:6:7, 1
1:2:12:12:3:4:5:6:7, 147
1:2:12:12:3:4:5:9:6:7, 127
1:2:12:12:3:5:4:6:7, 89
1:2:12:14:3:3:4:5:5:5:5:6:7, 4
1:2:12:14:3:5:4:6:7, 13
1:2:12:18:3:4:5:6:7, 1
1:2:12:3:3:3:4:5:5:5:5:6:7, 41
1:2:12:3:3:4:5:5:5:5:6:7, 2485
1:2:12:3:4:5:6, 4
1:2:12:3:4:5:6:7, 7037
1:2:12:3:4:5:9:6, 1
