width ,Count
119, 1
133, 1
160, 34
176, 2
182, 1
183, 1
200, 2
203, 2
223, 1
225, 1
228, 1
230, 1
240, 175
245, 1
246, 1
256, 1
260, 1
266, 1
269, 1
275, 2
276, 1
277, 2
282, 1
288, 2
289, 2
294, 1
295, 1
300, 6
304, 1
308, 1
311, 1
312, 2
314, 2
315, 2
316, 2
318, 1
319, 2
320, 275
321, 1
324, 1
330, 1
332, 1
333, 3
334, 2
336, 10
338, 2
340, 1
342, 2
343, 1
344, 1
347, 2
350, 2
351, 1
352, 4
356, 1
357, 2
358, 1
360, 13
361, 1
362, 1
364, 1
365, 1
367, 2
368, 1
369, 2
371, 2
374, 1
375, 30
376, 3
379, 3
380, 2
384, 42
385, 1
386, 1
387, 1
390, 1
392, 1
393, 1
394, 1
395, 1
398, 4
400, 375
404, 1
408, 1
411, 1
412, 1
414, 2
416, 6
417, 1
421, 1
422, 4
424, 3
425, 4
426, 10
427, 6
428, 2
429, 1
430, 6
432, 8
433, 1
435, 1
436, 1
437, 2
439, 1
441, 1
443, 1
444, 1
446, 1
447, 12
448, 17
449, 3
450, 31
452, 1
453, 1
454, 1
456, 1
459, 1
460, 6
461, 5
464, 4
465, 10
466, 2
467, 4
469, 1
474, 7
476, 1
477, 3
478, 5
479, 71
480, 1295
482, 3
485, 1
486, 3
487, 1
488, 7
489, 1
492, 2
493, 1
494, 2
495, 3
496, 1
498, 2
499, 3
500, 163
501, 1
502, 27
503, 1
504, 6
505, 1
507, 15
508, 1
510, 1
511, 5
512, 225
514, 1
515, 1
516, 1
517, 1
518, 3
520, 5
522, 4
523, 2
524, 4
525, 40
526, 2
527, 9
528, 37
529, 2
531, 1
532, 2
533, 42
535, 3
536, 4
537, 3
538, 1
539, 2
540, 4
542, 1
543, 2
544, 27
545, 1
546, 3
547, 3
548, 3
550, 26
551, 1
552, 1
553, 1
554, 2
555, 1
556, 1
557, 1
558, 3
559, 3
560, 2
561, 6
562, 5
563, 2
564, 1
566, 2
567, 1
568, 3
569, 3
570, 6
571, 1
572, 1
574, 1
575, 2
576, 20
577, 2
578, 1
580, 3
581, 1
583, 9
586, 1
587, 3
590, 1
591, 1
594, 2
595, 3
597, 7
598, 6
599, 6
600, 384
601, 2
602, 1
603, 1
604, 1
605, 4
606, 3
607, 3
608, 6
609, 1
610, 1
611, 1
612, 2
613, 2
614, 12
615, 3
616, 1
617, 1
618, 3
620, 4
621, 1
622, 3
623, 1
624, 19
625, 2
626, 1
627, 1
628, 3
629, 2
630, 17
631, 1
634, 1
635, 1
637, 2
638, 1
639, 3
640, 14616
641, 1
642, 1
643, 3
644, 4
645, 1
646, 1
648, 7
649, 1
650, 38
652, 1
653, 1
654, 2
655, 1
656, 2
657, 2
658, 2
659, 2
660, 18
662, 93
663, 1
664, 3
665, 9
666, 6
667, 2
668, 2
670, 9
671, 3
672, 16
675, 15
676, 1
678, 3
679, 1
680, 5
681, 1
682, 6
683, 23
684, 3
685, 1
688, 3
689, 1
690, 3
691, 5
692, 3
693, 1
694, 1
695, 1
696, 10
697, 4
698, 1
699, 2
700, 213
701, 1
702, 2
703, 1
704, 11
705, 2
706, 14
708, 14
709, 3
710, 3
712, 5
714, 1
715, 3
716, 11
717, 1
718, 3
719, 2
720, 248
721, 1
722, 2
723, 3
724, 1
725, 2
727, 1
728, 4
729, 3
730, 3
731, 2
732, 2
733, 3
736, 14
737, 2
738, 4
739, 1
740, 9
741, 1
743, 1
744, 2
745, 1
746, 1
747, 1
749, 3
750, 48
752, 3
753, 3
754, 3
755, 6
756, 2
757, 2
758, 1
759, 1
760, 25
761, 1
762, 1
763, 1
764, 2
765, 4
766, 1
767, 1
768, 1446
769, 4
770, 1
771, 1
772, 2
774, 14
775, 3
776, 2
777, 10
778, 2
779, 4
780, 31
781, 1
783, 1
784, 1
785, 1
786, 1
787, 3
788, 10
789, 1
790, 30
792, 2
794, 2
795, 5
796, 1
797, 2
798, 4
799, 11
800, 1793
801, 2
803, 2
804, 61
805, 1
806, 5
807, 7
809, 1
810, 25
811, 2
812, 2
813, 3
814, 3
815, 1
816, 20
817, 1
818, 4
819, 18
820, 17
822, 3
825, 1
826, 62
828, 2
829, 3
830, 5
831, 2
832, 126
833, 1
835, 1
836, 2
837, 6
838, 3
839, 67
840, 66
841, 1
842, 142
843, 2
844, 1
845, 8
846, 4
848, 9
849, 1
850, 7
851, 6
852, 5
853, 3
855, 3
856, 2
857, 1
858, 469
860, 1
861, 1
864, 45
865, 17
866, 4
868, 3
869, 1
870, 2
871, 1
872, 3
873, 1
874, 5
875, 1
876, 3
877, 4
880, 115
882, 3
883, 1
884, 1
886, 1
887, 1
888, 7
890, 1
891, 2
892, 2
893, 4
894, 7
895, 2
896, 10
898, 1
899, 101
900, 390
902, 4
903, 2
904, 2
905, 1
906, 4
907, 2
908, 2
909, 1
910, 2
912, 22
913, 1
914, 1
915, 2
917, 1
918, 2
919, 4
920, 15
921, 13
922, 4
924, 1
925, 3
927, 3
928, 1
929, 1
930, 2
931, 3
932, 1
933, 2
934, 1
936, 2
937, 2
938, 2
939, 2
940, 2
941, 1
942, 2
944, 12
945, 4
947, 2
948, 3
949, 1
950, 3
952, 4
953, 2
954, 1
956, 2
957, 1
958, 2
959, 2
960, 1861
962, 3
963, 4
965, 1
967, 3
968, 6
969, 2
970, 3
971, 1
972, 3
974, 1
975, 1
976, 7
978, 5
979, 1
980, 3
981, 1
982, 2
983, 1
984, 1
986, 1
987, 2
988, 1
990, 2
991, 4
992, 11
993, 4
994, 7
995, 1
996, 6
997, 2
998, 4
999, 4
1000, 685
1001, 4
1002, 1
1003, 1
1004, 2
1005, 1
1006, 1
1007, 1
1008, 11
1009, 3
1010, 2
1011, 2
1012, 2
1013, 2
1014, 1
1015, 2
1017, 2
1018, 1
1020, 2
1022, 6
1023, 4
1024, 11583
1025, 3
1026, 15
1027, 2
1028, 8
1029, 5
1030, 2
1032, 1
1033, 3
1034, 1
1036, 44
1037, 75
1038, 1
1039, 2
1040, 29
1043, 1
1044, 5
1045, 4
1046, 1
1047, 2
1048, 1
1049, 2
1050, 14
1051, 2
1052, 7
1054, 8
1055, 1
1056, 53
1057, 10
1058, 2
1059, 1
1060, 121
1061, 30
1062, 1
1063, 260
1064, 3
1065, 7
1066, 393
1067, 174
1068, 25
1070, 1
1071, 42
1072, 133
1074, 8
1075, 149
1076, 1
1078, 2
1079, 1
1080, 254
1082, 1
1083, 4
1085, 4
1086, 2
1087, 2
1088, 73
1089, 2
1090, 3
1091, 1
1092, 1
1094, 6
1095, 3
1096, 1
1097, 1
1098, 2
1099, 4
1100, 5
1102, 2
1104, 176
1105, 3
1106, 2
1107, 1
1108, 1
1109, 28
1110, 2
1111, 4
1113, 3
1114, 1
1115, 2
1116, 3
1118, 4
1120, 418
1121, 1
1122, 88
1123, 2
1125, 5
1126, 77
1127, 77
1128, 12
1129, 2
1130, 3
1131, 1
1132, 10
1133, 3
1134, 6
1135, 1
1136, 13
1137, 4
1139, 13
1140, 2
1141, 1
1142, 7
1143, 2
1144, 8
1146, 2
1147, 2
1149, 2
1150, 3
1151, 2
1152, 472
1155, 4
1156, 2
1157, 3
1159, 1
1160, 7
1161, 1
1162, 1
1164, 6
1165, 1
1166, 21
1167, 3
1168, 72
1169, 1
1170, 11
1171, 1
1173, 1
1174, 3
1175, 1
1176, 2
1177, 1
1178, 3
1179, 2
1180, 3
1182, 1
1183, 2
1184, 17
1185, 1
1186, 1
1187, 2
1188, 53
1189, 2
1190, 5
1191, 1
1192, 13
1193, 10
1194, 4
1195, 1
1196, 34
1197, 10
1198, 9
1199, 5
1200, 13023
1201, 5
1203, 28
1204, 9
1205, 15
1206, 3
1207, 1
1208, 1
1209, 1
1210, 35
1211, 3
1212, 3
1213, 4
1214, 1
1215, 1
1216, 513
1217, 5
1218, 5
1219, 1
1220, 4
1222, 15
1223, 3
1224, 1179
1225, 3
1226, 1
1228, 133
1229, 3
1230, 4
1231, 2
1232, 406
1234, 10
1235, 1
1236, 3
1237, 1
1239, 2
1240, 5
1241, 2
1242, 30
1243, 1
1244, 7
1245, 2
1246, 1
1247, 2
1248, 17
1249, 3
1250, 14
1251, 1
1252, 4
1253, 2
1254, 130
1255, 1
1256, 1
1257, 2
1259, 6
1260, 20
1261, 1
1264, 3
1265, 2
1266, 1
1267, 10
1268, 2
1269, 1
1270, 5
1271, 1
1272, 1
1273, 1
1274, 6
1275, 2
1276, 1
1277, 4
1278, 2
1279, 10
1280, 10668
1281, 5
1282, 39
1283, 2
1284, 1
1285, 3
1288, 66
1289, 2
1290, 5
1291, 5
1293, 1
1294, 4
1295, 1
1296, 480
1297, 2
1298, 10
1299, 2
1300, 17
1301, 1
1302, 2
1303, 2
1304, 2
1305, 2
1306, 4
1307, 4
1308, 2
1309, 1
1311, 1
1312, 20
1313, 7
1314, 8
1315, 2
1316, 114
1318, 3
1319, 2
1320, 5
1321, 2
1323, 2
1324, 1
1325, 2
1327, 1
1328, 3
1329, 6
1330, 27
1331, 5
1332, 3
1333, 10
1334, 3
1335, 2
1336, 1
1337, 2
1338, 4
1339, 2
1341, 1
1342, 1
1343, 14
1344, 34
1345, 2
1346, 1
1347, 2
1348, 3
1349, 2
1350, 2
1352, 4
1353, 2
1354, 38
1355, 3
1356, 1
1357, 2
1358, 11
1359, 4
1360, 580
1361, 72
1362, 8
1363, 23
1364, 8
1365, 622
1366, 12
1367, 14
1368, 47
1370, 225
1371, 6
1372, 1
1373, 3
1374, 5
1375, 3
1376, 54
1377, 1
1380, 15
1381, 4
1382, 29
1383, 15
1384, 1
1385, 39
1386, 2
1387, 2
1388, 2
1389, 1
1390, 3
1391, 1
1392, 9
1393, 1
1394, 3
1396, 5
1397, 3
1398, 21
1400, 86
1401, 1
1402, 2
1404, 3
1405, 7
1406, 3
1407, 31
1408, 30
1410, 1
1411, 2
1412, 2
1413, 3
1415, 1
1416, 3
1417, 1
1418, 2
1419, 1
1420, 6
1421, 1
1422, 1
1423, 12
1424, 73
1425, 3
1426, 2
1427, 2
1428, 6
1429, 1
1430, 1
1431, 2
1432, 1
1433, 6
1434, 107
1435, 2
1436, 3
1437, 1
1438, 2
1439, 24
1440, 1123
1443, 3
1444, 4
1445, 22
1447, 2
1448, 1
1449, 1
1450, 2
1451, 3
1452, 4
1454, 1
1456, 307
1458, 91
1459, 43
1460, 5
1461, 1
1462, 5
1463, 2
1464, 1
1465, 2
1466, 6
1467, 3
1468, 5
1469, 60
1470, 1
1471, 1
1472, 42
1473, 1
1474, 5
1475, 2
1476, 5
1477, 2
1478, 1
1479, 1
1480, 2
1481, 3
1482, 6
1483, 2
1484, 2
1485, 2
1486, 3
1487, 3
1488, 280
1489, 2
1490, 7
1491, 1
1492, 2
1493, 4
1495, 1
1496, 308
1497, 1
1498, 5
1499, 1
1500, 321
1501, 4
1502, 1
1503, 4
1504, 258
1505, 16
1506, 3
1507, 1
1508, 5
1509, 2
1511, 2
1512, 168
1513, 7
1514, 3
1515, 2
1516, 3
1517, 2
1518, 2
1519, 3
1520, 1880
1521, 4
1522, 1
1523, 21
1524, 172
1525, 1
1526, 3
1527, 2
1528, 3
1529, 36
1530, 96
1531, 3
1532, 14
1533, 4
1534, 22
1535, 77
1536, 17368
1537, 1
1538, 52
1539, 2
1540, 3
1541, 2
1542, 21
1544, 1298
1545, 479
1546, 4
1547, 4
1548, 2
1549, 46
1550, 5
1551, 4
1552, 1205
1553, 1
1554, 1
1555, 24
1556, 6
1557, 2
1558, 1
1559, 1
1560, 4
1561, 5
1562, 2
1564, 3
1565, 44
1566, 7
1567, 3
1568, 61
1569, 4
1570, 2
1571, 3
1572, 4
1574, 3
1575, 7
1576, 4
1577, 1
1578, 5
1579, 2
1580, 2
1581, 1
1582, 2
1583, 1
1584, 62
1585, 1
1586, 1
1587, 1
1588, 2
1589, 3
1590, 12
1591, 5
1592, 10
1593, 1
1594, 4
1595, 3
1596, 10
1597, 10
1598, 5
1599, 33
1600, 91178
1602, 2
1604, 2
1605, 4
1606, 3
1607, 109
1608, 12
1609, 2
1611, 1
1612, 1
1613, 216
1615, 8
1616, 133
1617, 104
1618, 15
1619, 2
1620, 235
1621, 10
1622, 2
1623, 308
1624, 3
1625, 33
1626, 3
1627, 2
1628, 3
1629, 5
1630, 10
1631, 3
1632, 11743
1633, 8
1634, 4
1636, 8
1637, 16
1638, 131
1639, 6
1640, 13
1641, 8
1643, 6
1644, 3
1646, 1
1647, 1
1648, 37
1650, 1
1652, 8
1653, 3
1654, 1
1655, 2
1656, 285
1657, 2
1658, 1
1659, 11
1660, 4
1661, 8
1662, 2
1663, 56
1664, 264
1665, 1
1666, 3
1667, 263
1668, 2
1669, 5
1670, 2
1671, 3
1672, 1157
1673, 7
1674, 112
1675, 67
1676, 7
1677, 1
1678, 57
1679, 3
1680, 21
1681, 3
1682, 5
1683, 2
1684, 2
1685, 1
1686, 1
1687, 1
1688, 1
1689, 1
1690, 309
1691, 1
1692, 4
1693, 1
1694, 1
1695, 3
1696, 79
1697, 1
1698, 11
1699, 3
1700, 12
1702, 2
1703, 2
1704, 2786
1705, 5
1706, 22
1707, 5
1708, 30
1709, 25
1710, 4
1711, 6
1712, 825
1713, 2
1714, 12
1715, 15
1716, 1
1717, 1
1718, 4
1719, 2
1720, 5
1721, 4
1722, 2
1723, 1
1724, 3
1725, 2
1726, 3
1727, 6
1728, 3994
1729, 3
1730, 13
1731, 4
1732, 4
1733, 3
1738, 3
1740, 4
1741, 3
1742, 20
1743, 5
1744, 74
1745, 2
1746, 2
1747, 2
1748, 2
1749, 1
1750, 4
1751, 2
1752, 23
1753, 3
1754, 3
1755, 1
1756, 7
1758, 4
1759, 1
1760, 564
1761, 1
1762, 4
1763, 1
1764, 2
1765, 2
1766, 3
1767, 3
1768, 16
1769, 1
1770, 2
1771, 4
1772, 3
1773, 10
1774, 4
1775, 5
1776, 195
1777, 28
1778, 1
1779, 1
1780, 2
1781, 3
1782, 4
1783, 2
1784, 1
1785, 3
1786, 2
1788, 2
1790, 1
1791, 106
1792, 396
1793, 2
1795, 72
1796, 16
1797, 2
1798, 2
1799, 17
1800, 1458
1801, 1
1802, 4
1803, 1
1804, 39
1805, 6
1806, 1
1807, 192
1808, 2
1809, 5
1810, 3
1811, 3
1812, 3
1813, 5
1814, 5
1815, 4
1816, 2
1817, 21
1818, 946
1819, 3
1820, 3
1821, 1
1822, 6
1823, 1
1824, 1114
1825, 2
1826, 1
1827, 1
1828, 6
1830, 101
1831, 2
1832, 126
1833, 1
1834, 1
1835, 8
1836, 360
1838, 2
1839, 3
1840, 3048
1841, 1
1842, 2
1843, 123
1844, 13
1845, 2
1846, 4
1847, 1
1848, 9
1849, 3
1850, 2
1851, 5
1852, 8
1853, 9
1854, 2
1855, 2
1856, 138
1857, 2
1858, 2
1859, 4
1860, 4
1861, 9
1862, 12
1863, 3
1864, 3
1865, 13
1866, 10
1867, 14
1868, 328
1869, 4
1870, 2
1871, 10
1872, 48
1873, 2
1874, 5
1875, 1035
1876, 4
1877, 3
1878, 10
1879, 2
1880, 214
1881, 49
1882, 2
1883, 1
1884, 2
1885, 2
1886, 1
1887, 1
1888, 9
1889, 3
1890, 2
1891, 6
1892, 3
1894, 1
1897, 2
1898, 3
1899, 2
1900, 12
1901, 5
1903, 1
1904, 5
1905, 3
1906, 1
1908, 2
1909, 1
1910, 4
1911, 2
1912, 1
1913, 1
1914, 6
1915, 2
1916, 4
1917, 1
1918, 5
1919, 5
1920, 8865
1922, 1
1924, 1
1925, 2
1926, 2
1927, 12
1928, 3
1929, 1
1930, 205
1931, 4
1932, 240
1933, 3
1934, 15
1935, 2
1936, 7091
1937, 15
1938, 7
1939, 4
1940, 33
1941, 1
1943, 2
1944, 9808
1945, 4
1946, 4
1947, 47
1948, 2
1950, 4
1951, 8
1952, 1401
1953, 2
1954, 10
1955, 3
1956, 3
1957, 1
1958, 41
1959, 39
1960, 34
1961, 1
1962, 1
1963, 1
1964, 4
1965, 3
1966, 4
1967, 2
1968, 3
1969, 2
1970, 1
1971, 1
1972, 2
1973, 1
1974, 3
1975, 3
1976, 8
1977, 1
1978, 4
1979, 2
1980, 46
1981, 5
1982, 1
1983, 2
1984, 694
1985, 3
1986, 3
1987, 3
1988, 2
1990, 3
1991, 4
1992, 6
1993, 3
1994, 3
1995, 2
1996, 14
1998, 10
1999, 2
2000, 3017
2001, 4
2004, 6
2005, 4
2006, 34
2007, 3
2008, 18
2009, 1
2010, 4
2011, 2
2012, 57
2013, 2
2014, 91
2015, 2
2016, 1113
2017, 2
2018, 1
2019, 1
2020, 1
2022, 2
2023, 2
2024, 28
2025, 2
2026, 5
2027, 3
2028, 6
2029, 3
2030, 2
2031, 3
2032, 1648
2033, 1
2034, 5
2035, 3
2036, 2
2037, 1
2039, 3
2040, 113
2041, 12
2042, 1
2043, 3
2044, 8
2045, 14
2046, 25
2047, 165
2048, 123609
2049, 3
2050, 4
2051, 2
2052, 4
2053, 2
2054, 5
2055, 1
2056, 421
2057, 272
2058, 5
2059, 3
2060, 7
2062, 1
2063, 2
2064, 94
2065, 4
2066, 2
2067, 1
2068, 6
2069, 2
2070, 6
2071, 5
2072, 2
2073, 9
2074, 16
2075, 3
2076, 3
2077, 2
2078, 1
2079, 32
2080, 111
2081, 2
2082, 2
2083, 1
2084, 5
2085, 2
2086, 2
2087, 3
2088, 8
2089, 2
2090, 1
2091, 1
2092, 1
2095, 1
2096, 3
2097, 1
2098, 16
2099, 1
2100, 36
2101, 2
2102, 11
2103, 30
2104, 13
2105, 2
2106, 7
2108, 43
2109, 2
2110, 9
2111, 1
2112, 2854
2113, 8
2114, 1
2115, 1
2116, 1
2117, 3
2118, 2
2120, 33
2121, 2
2122, 9
2123, 3
2124, 20
2126, 16
2127, 3
2128, 162
2129, 10
2130, 32
2131, 1
2132, 24
2133, 66
2134, 52
2135, 13
2136, 725
2137, 25
2138, 27
2139, 7
2140, 43
2142, 92
2143, 8
2144, 1641
2145, 20
2147, 40
2148, 10
2149, 16
2150, 8
2151, 2
2152, 2
2153, 2
2155, 1
2156, 1
2158, 11
2159, 1
2160, 1005
2161, 4
2162, 1
2164, 1
2165, 23
2168, 4
2171, 2
2173, 2
2174, 4
2176, 150
2178, 3
2179, 2
2180, 3
2182, 1
2183, 3
2184, 2
2185, 2
2186, 3
2187, 3
2188, 2
2189, 2
2190, 3
2191, 1
2192, 2
2193, 2
2194, 3
2195, 2
2196, 5
2197, 1
2198, 2
2199, 1
2200, 1
2201, 1
2202, 1
2203, 1
2205, 1
2207, 1
2208, 73
2209, 1
2210, 2
2211, 3
2212, 4
2213, 2
2214, 1
2215, 2
2217, 2
2218, 1
2219, 3
2220, 4
2222, 2
2223, 1
2224, 21
2225, 1
2226, 12
2228, 1
2229, 1
2230, 3
2231, 1
2232, 58
2235, 34
2237, 1
2238, 2
2239, 1
2240, 2011
2241, 2
2242, 3
2243, 2
2244, 3
2245, 3
2247, 2
2248, 371
2250, 60
2251, 4
2252, 2
2253, 1
2254, 1
2255, 1
2256, 3360
2257, 2
2258, 4
2259, 1
2260, 2
2261, 1
2263, 1
2264, 2
2265, 3
2266, 4
2267, 2
2268, 9
2269, 2
2270, 3
2271, 2
2272, 29663
2273, 2
2274, 1
2275, 1
2276, 20
2277, 2
2278, 3
2279, 158
2280, 17
2281, 1
2282, 3
2284, 2
2285, 36
2287, 12
2288, 4911
2289, 2
2290, 3
2291, 1
2292, 53
2293, 1
2294, 2
2295, 2
2296, 9
2297, 1
2298, 2
2299, 1
2300, 3
2301, 2
2302, 18
2303, 1
2304, 15750
2305, 1
2306, 3
2307, 3
2308, 10
2309, 4
2310, 3
2311, 3
2312, 18
2313, 7
2314, 5
2318, 14
2319, 2
2320, 3
2321, 2
2322, 4
2323, 2
2324, 3
2325, 1
2326, 8
2327, 1
2328, 4
2329, 1
2330, 2
2333, 48
2334, 3
2335, 3
2336, 580
2337, 2
2338, 1
2339, 1
2340, 14
2341, 4
2343, 2
2344, 1
2349, 1
2350, 15
2351, 1
2352, 1096
2353, 3
2354, 2
2355, 2
2358, 3
2361, 1
2362, 2
2363, 3
2364, 2
2365, 1
2366, 2
2367, 1
2368, 42
2369, 3
2370, 2
2371, 2
2373, 2
2375, 1
2376, 148
2377, 1
2378, 1
2379, 1
2380, 2
2381, 2
2382, 2
2383, 5
2384, 1
2385, 1
2386, 7
2389, 1
2390, 94
2391, 1
2392, 1
2393, 2
2394, 1
2397, 2
2398, 1
2399, 1
2400, 992
2401, 3
2402, 1
2403, 3
2405, 1
2406, 22
2407, 5
2408, 30
2409, 47
2410, 1
2413, 7
2414, 6
2415, 2
2416, 9
2417, 1
2418, 3
2419, 2
2420, 2
2421, 1
2422, 1
2423, 11
