ifd0_make#ifd0_model#ifd0_Orientation#Count
1#1##1357
1#1#0#31
1#1#1 = Row 0: top, Col 0: left#33
1#1#3 = Row 0: bottom, Col 0: rig#2
1#1#6 = Row 0: right, Col 0: top#1
1#1#8 = Row 0: left, Col 0: botto#1
1#2##1974
1#2#0#4
1#2#1 = Row 0: top, Col 0: left#51
1#2#8 = Row 0: left, Col 0: botto#1
1#169#1 = Row 0: top, Col 0: left#7
1#1339##121
1#1998##16
1#2318#1 = Row 0: top, Col 0: left#126
1#2318#6 = Row 0: right, Col 0: top#17
1#2318#8 = Row 0: left, Col 0: botto#7
2#3##9
3#4##994
3#4#0#2
3#4#1 = Row 0: top, Col 0: left#15305
3#4#3 = Row 0: bottom, Col 0: rig#1167
3#4#6 = Row 0: right, Col 0: top#5684
3#4#8 = Row 0: left, Col 0: botto#30
3#13##251
3#13#1 = Row 0: top, Col 0: left#2461
3#13#3 = Row 0: bottom, Col 0: rig#135
3#13#6 = Row 0: right, Col 0: top#604
3#13#8 = Row 0: left, Col 0: botto#1
3#15##1095
3#15#0#9
3#15#1 = Row 0: top, Col 0: left#17309
3#15#3 = Row 0: bottom, Col 0: rig#802
3#15#5 = Row 0: left, Col 0: top#1
3#15#6 = Row 0: right, Col 0: top#6543
3#15#8 = Row 0: left, Col 0: botto#58
3#31##1313
3#31#0#4
3#31#1 = Row 0: top, Col 0: left#13190
3#31#3 = Row 0: bottom, Col 0: rig#1137
3#31#6 = Row 0: right, Col 0: top#4599
3#31#8 = Row 0: left, Col 0: botto#73
3#32#1 = Row 0: top, Col 0: left#1126
3#32#3 = Row 0: bottom, Col 0: rig#56
3#32#6 = Row 0: right, Col 0: top#775
3#32#8 = Row 0: left, Col 0: botto#3
3#34##639
3#34#1 = Row 0: top, Col 0: left#5476
3#34#3 = Row 0: bottom, Col 0: rig#441
3#34#6 = Row 0: right, Col 0: top#1979
3#34#8 = Row 0: left, Col 0: botto#19
3#63##83
3#63#1 = Row 0: top, Col 0: left#1320
