ifd0_make#ifd0_model#ifds_ComponentsConfiguration#Count
1#1##32
1#1#[Y Cb Cr .]#1393
1#2##4
1#2#[Y Cb Cr .]#2026
1#169##7
1#1339#[Y Cb Cr .]#121
1#1998#[Y Cb Cr .]#16
1#2318#[Y Cb Cr .]#150
2#3#[Y Cb Cr .]#9
3#4##289
3#4#[. . . .]#1779
3#4#[. . . Y]#4412
3#4#[Y Cb Cr .]#16702
3#13#[Y Cb Cr .]#3452
3#15##200
3#15#[. . . .]#862
3#15#[. . . Y]#4950
3#15#[Y Cb Cr .]#19805
3#31##385
3#31#[. . . .]#1408
3#31#[. . . Y]#5377
3#31#[Y Cb Cr .]#13146
3#32#[Y Cb Cr .]#1960
3#34#[Y Cb Cr .]#8554
3#63##11
3#63#[. . . .]#31
3#63#[. . . Y]#351
3#63#[Y Cb Cr .]#1806
3#87#[Y Cb Cr .]#1361
3#95##5448
3#95#[. . . .]#1
3#95#[. . . Y]#2
3#95#[Y Cb Cr .]#2424
3#137#[. . . .]#2
3#137#[. . . Y]#1
3#137#[Y Cb Cr .]#2831
3#176##9
3#176#[. . . .]#239
3#176#[. . . Y]#549
3#176#[Y Cb Cr .]#5950
3#460#[. . . .]#167
3#460#[. . . Y]#87
3#460#[Y Cb Cr .]#1150
3#598#[Y Cb Cr .]#79
3#1082#[. . . .]#95
3#1082#[. . . Y]#191
3#1082#[Y Cb Cr .]#414
3#1433##16
3#1433#[. . . .]#1
3#1433#[Y Cb Cr .]#2
3#1636#[Y Cb Cr .]#113
3#2173##104
3#3617#[. . . .]#1
3#3617#[. . . Y]#3
3#3617#[Y Cb Cr .]#118
3#3796#[Y Cb Cr .]#2
3#4037#[. . . .]#3
3#4037#[. . . Y]#4
3#4037#[Y Cb Cr .]#7
3#4150#[Y Cb Cr .]#1
3#4177#[Y Cb Cr .]#16
4#5#[Y Cb Cr .]#165
4#6#[Y Cb Cr .]#2339
4#45#[Y Cb Cr .]#2353
4#46#[Y Cb Cr .]#1849
4#64#[Y Cb Cr .]#1144
4#94#[Y Cb Cr .]#746
4#103#[Y Cb Cr .]#2885
4#107#[Y Cb Cr .]#63
