ifd0_make#ifd0_model#ifds_ExifImageHeight#Count
1#1##48
1#1#0x[00000438] / 1080#67
1#1#0x[000004B0] / 1200#4
1#1#0x[000004E6] / 1254#44
1#1#0x[00000600] / 1536#10
1#1#0x[00000640] / 1600#3
1#1#0x[00000688] / 1672#2
1#1#0x[00000780] / 1920#15
1#1#0x[00000798] / 1944#15
1#1#0x[00000880] / 2176#1
1#1#0x[00000990] / 2448#774
1#1#0x[00000A20] / 2592#20
1#1#0x[00000CC0] / 3264#422
1#2##4
1#2#0x[0000072C] / 1836#106
1#2#0x[00000790] / 1936#4
1#2#0x[00000798] / 1944#13
1#2#0x[00000990] / 2448#1134
1#2#0x[00000A16] / 2582#4
1#2#0x[00000A20] / 2592#11
1#2#0x[00000CC0] / 3264#703
1#2#1824#30
1#2#1836#4
1#2#2368#3
1#2#2448#1
1#2#3200#13
1#169##7
1#1339##121
1#1998##16
1#2318#0x[00000798] / 1944#150
2#3#0x[00000C30] / 3120#9
3#4#0x[000001DA] / 474#1
3#4#0x[000001E3] / 483#1
3#4#0x[00000206] / 518#1
3#4#0x[00000280] / 640#1
3#4#0x[00000347] / 839#1
3#4#0x[00000374] / 884#1
3#4#0x[00000398] / 920#1
3#4#0x[0000039E] / 926#1
3#4#0x[000003A1] / 929#1
3#4#0x[000003BD] / 957#1
3#4#0x[000003C0] / 960#7
3#4#0x[000003C6] / 966#1
3#4#0x[00000410] / 1040#1
3#4#0x[00000418] / 1048#1
3#4#0x[0000041B] / 1051#1
3#4#0x[00000424] / 1060#1
3#4#0x[00000438] / 1080#179
3#4#0x[00000444] / 1092#1
3#4#0x[0000048E] / 1166#1
3#4#0x[000004A2] / 1186#1
3#4#0x[000004E6] / 1254#113
3#4#0x[00000500] / 1280#8
3#4#0x[00000557] / 1367#1
3#4#0x[00000569] / 1385#1
3#4#0x[0000059C] / 1436#1
3#4#0x[000005A2] / 1442#1
3#4#0x[000005A8] / 1448#3
3#4#0x[000005A9] / 1449#1
3#4#0x[00000600] / 1536#602
3#4#0x[00000612] / 1554#1
3#4#0x[00000618] / 1560#1
3#4#0x[0000061C] / 1564#1
3#4#0x[00000649] / 1609#1
3#4#0x[00000664] / 1636#1
3#4#0x[000006AC] / 1708#1
3#4#0x[000006AE] / 1710#1
3#4#0x[000006C4] / 1732#1
3#4#0x[000006C5] / 1733#1
3#4#0x[000006E9] / 1769#1
3#4#0x[0000072C] / 1836#45
3#4#0x[00000738] / 1848#1
3#4#0x[00000741] / 1857#2
3#4#0x[00000753] / 1875#2
3#4#0x[00000757] / 1879#1
3#4#0x[00000759] / 1881#1
3#4#0x[0000075C] / 1884#1
3#4#0x[00000765] / 1893#1
3#4#0x[00000780] / 1920#1
3#4#0x[000007AE] / 1966#1
3#4#0x[000007AF] / 1967#1
3#4#0x[000007B3] / 1971#1
3#4#0x[000007CC] / 1996#1
3#4#0x[000007D8] / 2008#1
3#4#0x[000007EB] / 2027#1
3#4#0x[000007EF] / 2031#1
3#4#0x[000007F8] / 2040#1
3#4#0x[000007FD] / 2045#1
3#4#0x[000007FF] / 2047#2
3#4#0x[00000800] / 2048#419
3#4#0x[00000813] / 2067#1
3#4#0x[0000086D] / 2157#1
3#4#0x[00000880] / 2176#1
3#4#0x[0000091C] / 2332#87
3#4#0x[00000922] / 2338#1
3#4#0x[00000934] / 2356#1
3#4#0x[00000946] / 2374#1
3#4#0x[00000948] / 2376#1
3#4#0x[0000095C] / 2396#2
3#4#0x[00000966] / 2406#1
3#4#0x[0000097E] / 2430#3
3#4#0x[00000982] / 2434#1
3#4#0x[00000986] / 2438#1
3#4#0x[0000098B] / 2443#10
3#4#0x[0000098E] / 2446#2
3#4#0x[00000990] / 2448#20274
3#4#0x[00000991] / 2449#18
3#4#0x[00000994] / 2452#1
3#4#0x[00000998] / 2456#2
3#4#0x[000009A4] / 2468#1
3#4#0x[000009A8] / 2472#1
3#4#0x[000009C4] / 2500#1
3#4#0x[000009C9] / 2505#1
3#4#0x[000009CA] / 2506#1
3#4#0x[000009CE] / 2510#1
3#4#0x[000009E2] / 2530#26
3#4#0x[00000A1E] / 2590#5
3#4#0x[00000BB9] / 3001#1
3#4#0x[00000CC0] / 3264#1284
3#4#0x[00000D12] / 3346#21
3#13#0x[000005FC] / 1532#4
3#13#0x[00000990] / 2448#3404
3#13#0x[00000CC0] / 3264#18
3#13#2448#26
3#15##1
3#15#0x[000001D0] / 464#1
3#15#0x[000001E0] / 480#43
3#15#0x[00000215] / 533#1
3#15#0x[00000280] / 640#27
3#15#0x[000002B1] / 689#1
3#15#0x[000002D0] / 720#1
3#15#0x[0000037C] / 892#1
3#15#0x[000003C0] / 960#1
3#15#0x[000003C2] / 962#1
3#15#0x[000003D1] / 977#1
3#15#0x[00000443] / 1091#1
3#15#0x[00000461] / 1121#1
3#15#0x[000004A4] / 1188#1
3#15#0x[000004AB] / 1195#38
3#15#0x[000004B0] / 1200#107
3#15#0x[000004E3] / 1251#65
3#15#0x[00000510] / 1296#1
3#15#0x[000005DD] / 1501#1
3#15#0x[000005F9] / 1529#6
3#15#0x[000005FA] / 1530#296
3#15#0x[000005FF] / 1535#2
3#15#0x[00000600] / 1536#198
3#15#0x[00000642] / 1602#5
3#15#0x[00000679] / 1657#1
3#15#0x[0000068A] / 1674#1
3#15#0x[000006C2] / 1730#1
3#15#0x[0000078E] / 1934#9
3#15#0x[0000078F] / 1935#1
3#15#0x[00000790] / 1936#23727
3#15#0x[00000791] / 1937#10
3#15#0x[00000792] / 1938#47
3#15#0x[000007E8] / 2024#1
3#15#0x[00000800] / 2048#62
3#15#0x[00000808] / 2056#60
3#15#0x[00000809] / 2057#3
3#15#0x[00000846] / 2118#2
3#15#0x[000008F8] / 2296#3
3#15#0x[00000938] / 2360#2
3#15#0x[00000942] / 2370#1
3#15#0x[00000996] / 2454#3
3#15#0x[00000A20] / 2592#1070
3#15#0x[00000AD6] / 2774#1
3#15#0x[00000B88] / 2952#1
3#15#1728#10
3#31##13
3#31#0x[00000166] / 358#1
3#31#0x[000001E0] / 480#20
3#31#0x[0000025B] / 603#1
3#31#0x[00000280] / 640#3
3#31#0x[000003CF] / 975#1
3#31#0x[00000468] / 1128#1
3#31#0x[00000479] / 1145#1
3#31#0x[00000480] / 1152#9
3#31#0x[000004A6] / 1190#1
3#31#0x[000004C0] / 1216#1
3#31#0x[000004C8] / 1224#69
3#31#0x[000004E6] / 1254#76
3#31#0x[000004EB] / 1259#1
3#31#0x[00000510] / 1296#6
3#31#0x[0000051F] / 1311#1
3#31#0x[00000539] / 1337#1
3#31#0x[0000053B] / 1339#1
3#31#0x[00000544] / 1348#1
3#31#0x[00000556] / 1366#1
3#31#0x[00000580] / 1408#1
3#31#0x[00000589] / 1417#1
3#31#0x[0000059E] / 1438#1
3#31#0x[000005A0] / 1440#3
3#31#0x[000005A5] / 1445#1
3#31#0x[000005A9] / 1449#1
3#31#0x[000005B5] / 1461#1
3#31#0x[000005BE] / 1470#1
3#31#0x[00000600] / 1536#413
3#31#0x[00000660] / 1632#8
3#31#0x[000006A4] / 1700#1
3#31#0x[000006BC] / 1724#1
3#31#0x[000006F0] / 1776#1
3#31#0x[000006F5] / 1781#1
3#31#0x[00000708] / 1800#6
3#31#0x[0000071F] / 1823#1
3#31#0x[00000725] / 1829#1
3#31#0x[0000072C] / 1836#111
3#31#0x[0000074C] / 1868#1
3#31#0x[00000771] / 1905#1
3#31#0x[00000780] / 1920#6
3#31#0x[00000782] / 1922#8
3#31#0x[000007FF] / 2047#5
3#31#0x[00000800] / 2048#437
3#31#0x[00000880] / 2176#2
3#31#0x[000008D8] / 2264#1
3#31#0x[000008E4] / 2276#1
3#31#0x[0000091C] / 2332#20
3#31#0x[0000092E] / 2350#1
3#31#0x[0000093E] / 2366#1
3#31#0x[0000096A] / 2410#1
3#31#0x[0000096C] / 2412#1
3#31#0x[00000982] / 2434#1
3#31#0x[0000098B] / 2443#20
3#31#0x[0000098C] / 2444#1
3#31#0x[0000098E] / 2446#9
3#31#0x[00000990] / 2448#17902
3#31#0x[00000992] / 2450#1
3#31#0x[000009A8] / 2472#1
3#31#0x[000009B4] / 2484#1
3#31#0x[000009C0] / 2496#1
3#31#0x[000009C8] / 2504#1
3#31#0x[000009CA] / 2506#1
3#31#0x[000009E2] / 2530#3
3#31#0x[000009EC] / 2540#1
3#31#0x[000009EE] / 2542#1
3#31#0x[00000A74] / 2676#4
3#31#0x[00000AD6] / 2774#3
3#31#0x[00000B40] / 2880#1
3#31#0x[00000BB4] / 2996#3
3#31#0x[00000CC0] / 3264#1096
3#31#0x[00000CD7] / 3287#1
3#31#0x[00000D12] / 3346#3
3#31#0x[00000DA4] / 3492#7
3#31#0x[00000E06] / 3590#4
3#31#3264#1
3#32#0x[00000990] / 2448#1953
3#32#0x[00000B78] / 2936#7
3#34#0x[00000438] / 1080#95
3#34#0x[00000600] / 1536#2
3#34#0x[0000091C] / 2332#12
3#34#0x[00000990] / 2448#8184
3#34#0x[00000CC0] / 3264#253
3#34#2448#8
3#63#0x[000001E0] / 480#1
3#63#0x[00000600] / 1536#8
3#63#0x[000006C8] / 1736#1
3#63#0x[0000070C] / 1804#1
3#63#0x[00000715] / 1813#1
3#63#0x[0000074B] / 1867#1
3#63#0x[00000790] / 1936#2008
3#63#0x[00000808] / 2056#9
3#63#0x[00000846] / 2118#1
3#63#0x[00000A20] / 2592#167
3#63#1936#1
3#87#0x[00000990] / 2448#1356
3#87#0x[00000CC0] / 3264#5
3#95##19
3#95#0x[00000000] / 0#901
3#95#0x[000004B0] / 1200#4299
3#95#0x[00000600] / 1536#952
3#95#0x[00000640] / 1600#874
3#95#0x[00000790] / 1936#321
3#95#0x[00000800] / 2048#285
3#95#0x[00000894] / 2196#3
3#95#0x[00000990] / 2448#8
3#95#0x[00000A20] / 2592#208
3#95#0x[00000B24] / 2852#4
3#95#0x[00000CC0] / 3264#1
3#137#0x[00000000] / 0#289
3#137#0x[00000177] / 375#1
3#137#0x[00000320] / 800#1
3#137#0x[000004B0] / 1200#2299
3#137#0x[00000640] / 1600#244
3#176##13
3#176#0x[00000000] / 0#802
3#176#0x[000001D8] / 472#2
3#176#0x[00000258] / 600#1
3#176#0x[000002D0] / 720#1
3#176#0x[000002E9] / 745#1
3#176#0x[00000320] / 800#1
3#176#0x[000003CA] / 970#1
3#176#0x[0000044A] / 1098#1
3#176#0x[000004B0] / 1200#6
3#176#0x[000004CF] / 1231#1
3#176#0x[0000052D] / 1325#1
3#176#0x[00000553] / 1363#1
3#176#0x[00000600] / 1536#5633
3#176#0x[0000073C] / 1852#1
3#176#0x[00000800] / 2048#258
3#176#1536#1
3#176#2048#22
3#460#0x[000003C0] / 960#1
3#460#0x[000003DB] / 987#1
3#460#0x[00000600] / 1536#121
3#460#0x[00000790] / 1936#1121
3#460#0x[00000808] / 2056#43
3#460#0x[00000A20] / 2592#117
3#598#0x[00000790] / 1936#78
3#598#0x[00000A20] / 2592#1
3#1082#0x[000001E0] / 480#5
3#1082#0x[00000280] / 640#1
3#1082#0x[000002A7] / 679#1
3#1082#0x[000002D0] / 720#177
3#1082#0x[000003C0] / 960#3
3#1082#0x[0000042C] / 1068#1
3#1082#0x[000004E9] / 1257#1
3#1082#0x[0000050D] / 1293#1
3#1082#0x[00000790] / 1936#457
3#1082#0x[000007FF] / 2047#1
3#1082#0x[00000808] / 2056#23
3#1082#0x[0000091C] / 2332#2
3#1082#0x[00000930] / 2352#1
3#1082#0x[00000934] / 2356#1
3#1082#0x[0000094E] / 2382#1
3#1082#0x[00000986] / 2438#1
3#1082#0x[00000A20] / 2592#23
3#1433#0x[00000790] / 1936#14
3#1433#0x[000007AA] / 1962#1
3#1433#0x[00000800] / 2048#1
3#1433#0x[00000990] / 2448#1
3#1433#0x[00000A20] / 2592#2
3#1636#0x[00000990] / 2448#113
3#2173#0x[000004B0] / 1200#72
3#2173#0x[00000640] / 1600#32
3#3617#0x[000001E0] / 480#1
3#3617#0x[00000269] / 617#1
3#3617#0x[00000280] / 640#1
3#3617#0x[000002D0] / 720#116
3#3617#0x[000003C0] / 960#3
3#3796#0x[000004B0] / 1200#2
3#4037#0x[000004A4] / 1188#1
3#4037#0x[00000600] / 1536#2
3#4037#0x[00000800] / 2048#4
3#4037#0x[000009C4] / 2500#2
3#4037#0x[00000A20] / 2592#5
