ifd0_make#ifd0_model#ifds_ExifImageWidth#Count
1#1##48
1#1#0x[00000438] / 1080#15
1#1#0x[000004B0] / 1200#3
1#1#0x[000004E6] / 1254#2
1#1#0x[00000640] / 1600#4
1#1#0x[00000688] / 1672#44
1#1#0x[00000780] / 1920#67
1#1#0x[00000798] / 1944#20
1#1#0x[00000800] / 2048#10
1#1#0x[00000880] / 2176#7
1#1#0x[00000990] / 2448#415
1#1#0x[00000A20] / 2592#15
1#1#0x[00000CC0] / 3264#775
1#2##4
1#2#0x[0000072C] / 1836#40
1#2#0x[00000790] / 1936#4
1#2#0x[00000798] / 1944#11
1#2#0x[00000990] / 2448#663
1#2#0x[00000A16] / 2582#4
1#2#0x[00000A20] / 2592#13
1#2#0x[00000CC0] / 3264#1240
1#2#1824#12
1#2#2368#1
1#2#3200#33
1#2#3264#5
1#169##7
1#1339##121
1#1998##16
1#2318#0x[00000A20] / 2592#150
2#3#0x[00001070] / 4208#9
3#4#0x[00000303] / 771#1
3#4#0x[00000354] / 852#1
3#4#0x[00000438] / 1080#2
3#4#0x[00000440] / 1088#5
3#4#0x[00000500] / 1280#15
3#4#0x[00000523] / 1315#1
3#4#0x[0000056D] / 1389#1
3#4#0x[00000585] / 1413#1
3#4#0x[000005FC] / 1532#1
3#4#0x[000005FD] / 1533#1
3#4#0x[00000600] / 1536#465
3#4#0x[0000060B] / 1547#1
3#4#0x[00000688] / 1672#113
3#4#0x[000006AD] / 1709#1
3#4#0x[0000072C] / 1836#14
3#4#0x[00000780] / 1920#179
3#4#0x[00000800] / 2048#559
3#4#0x[00000881] / 2177#3
3#4#0x[00000882] / 2178#1
3#4#0x[00000919] / 2329#1
3#4#0x[00000922] / 2338#1
3#4#0x[0000092B] / 2347#1
3#4#0x[0000096B] / 2411#1
3#4#0x[0000098B] / 2443#10
3#4#0x[00000990] / 2448#1913
3#4#0x[00000999] / 2457#1
3#4#0x[000009C9] / 2505#1
3#4#0x[000009E2] / 2530#21
3#4#0x[00000A00] / 2560#1
3#4#0x[00000A08] / 2568#1
3#4#0x[00000A20] / 2592#1
3#4#0x[00000A28] / 2600#1
3#4#0x[00000A2C] / 2604#1
3#4#0x[00000A5E] / 2654#1
3#4#0x[00000AD1] / 2769#1
3#4#0x[00000ADF] / 2783#1
3#4#0x[00000AE3] / 2787#1
3#4#0x[00000AFA] / 2810#2
3#4#0x[00000B03] / 2819#1
3#4#0x[00000B08] / 2824#1
3#4#0x[00000B1B] / 2843#1
3#4#0x[00000B84] / 2948#1
3#4#0x[00000B88] / 2952#1
3#4#0x[00000B92] / 2962#1
3#4#0x[00000BC4] / 3012#1
3#4#0x[00000BE4] / 3044#1
3#4#0x[00000BE8] / 3048#1
3#4#0x[00000BF7] / 3063#1
3#4#0x[00000BFF] / 3071#1
3#4#0x[00000C24] / 3108#1
3#4#0x[00000C38] / 3128#1
3#4#0x[00000CBE] / 3262#1
3#4#0x[00000CC0] / 3264#19695
3#4#0x[00000D12] / 3346#26
3#4#0x[00000D6E] / 3438#1
3#4#0x[00001000] / 4096#10
3#4#0x[000010F0] / 4336#1
3#4#0x[00001150] / 4432#1
3#4#0x[000011C0] / 4544#1
3#4#0x[00001518] / 5400#2
3#4#0x[00001520] / 5408#1
3#4#0x[00001620] / 5664#1
3#4#0x[00001700] / 5888#1
3#4#0x[00001730] / 5936#1
3#4#0x[00001870] / 6256#1
3#4#0x[00001B10] / 6928#1
3#4#0x[00001BC0] / 7104#1
3#4#0x[00001F00] / 7936#1
