ifd0_make#ifd0_model#ifds_ExposureProgram#Count
1#1##1425
1#2##1984
1#2#Normal program#46
1#169##7
1#1339##121
1#1998##16
1#2318#Not defined#150
2#3##9
3#4##13
3#4#Normal program#23169
3#13#Normal program#3452
3#15##56
3#15#Normal program#25761
3#31##82
3#31#Normal program#20234
3#32##7
3#32#Normal program#1953
3#34##144
3#34#Normal program#8410
3#63#Normal program#2199
3#87#Normal program#1361
3#95##6660
3#95#Normal program#1214
3#95#Shutter priority#1
3#137#Normal program#2834
3#176##21
3#176#Normal program#6726
3#460#Normal program#1404
3#598#Normal program#79
3#1082##1
3#1082#Normal program#699
3#1433##19
3#1636#Normal program#113
3#2173##104
3#3617#Normal program#122
3#3796#Normal program#2
3#4037##14
3#4150##1
3#4177##16
4#5#Landscape mode#11
4#5#Normal program#153
4#5#Portrait mode#1
4#6#Landscape mode#341
4#6#Normal program#1868
4#6#Portrait mode#130
4#45##6
4#45#Aperture priority#75
4#45#Landscape mode#826
4#45#Manual#37
4#45#Normal program#1265
4#45#Portrait mode#125
4#45#Shutter priority#19
4#46##1
4#46#Aperture priority#172
4#46#Landscape mode#259
4#46#Manual#21
4#46#Normal program#1214
4#46#Portrait mode#98
4#46#Shutter priority#84
4#64#Aperture priority#166
4#64#Landscape mode#289
4#64#Manual#66
4#64#Normal program#534
4#64#Portrait mode#40
4#64#Shutter priority#49
4#94#Aperture priority#5
4#94#Landscape mode#109
4#94#Manual#1
4#94#Normal program#572
4#94#Portrait mode#56
4#94#Shutter priority#3
4#103##4
4#103#Landscape mode#95
4#103#Normal program#2784
4#103#Portrait mode#2
4#107#Landscape mode#2
4#107#Normal program#59
4#107#Portrait mode#2
4#109#Landscape mode#44
4#109#Normal program#221
4#109#Portrait mode#12
4#131##9
4#131#Landscape mode#23
4#131#Normal program#1351
4#131#Portrait mode#47
4#141#Aperture priority#85
4#141#Landscape mode#26
4#141#Manual#3
4#141#Normal program#312
4#141#Portrait mode#6
4#175#Aperture priority#58
4#175#Landscape mode#17
4#175#Manual#189
4#175#Normal program#1567
4#175#Portrait mode#8
4#175#Shutter priority#22
4#187#Landscape mode#2
4#187#Normal program#76
4#188#Landscape mode#75
4#188#Normal program#159
4#188#Portrait mode#3
4#203##1
4#203#Landscape mode#6
4#203#Normal program#67
4#203#Portrait mode#2
4#227##5
4#227#Aperture priority#438
4#227#Landscape mode#69
4#227#Manual#56
4#227#Normal program#452
4#227#Portrait mode#30
4#227#Shutter priority#62
4#253#Landscape mode#112
4#253#Normal program#185
4#253#Portrait mode#9
4#261#Landscape mode#9
4#261#Normal program#9
4#261#Portrait mode#1
4#266#Landscape mode#56
4#266#Normal program#658
4#266#Portrait mode#4
4#267##5
4#267#Landscape mode#82
4#267#Normal program#330
4#267#Portrait mode#1
4#268#Aperture priority#16
4#268#Landscape mode#178
4#268#Normal program#772
4#268#Not defined#12
4#268#Portrait mode#37
4#268#Shutter priority#1
4#269##7
4#269#Landscape mode#563
4#269#Normal program#2064
4#269#Portrait mode#132
4#309#Aperture priority#471
4#309#Landscape mode#597
4#309#Manual#59
4#309#Normal program#2409
4#309#Portrait mode#417
4#309#Shutter priority#86
4#310##53
4#310#Aperture priority#192
4#310#Landscape mode#1065
4#310#Manual#16
4#310#Normal program#3085
4#310#Portrait mode#180
4#310#Shutter priority#88
4#327#Normal program#288
4#328#Normal program#33
4#328#Portrait mode#53
4#334##1
4#334#Landscape mode#280
4#334#Manual#1
4#334#Normal program#434
4#334#Portrait mode#31
4#376#Landscape mode#3
4#376#Normal program#868
4#387#Aperture priority#15
4#387#Landscape mode#90
4#387#Manual#16
4#387#Normal program#284
4#387#Portrait mode#26
4#387#Shutter priority#3
4#399#Normal program#2
4#400##18
4#400#Aperture priority#9
4#400#Landscape mode#84
4#400#Manual#6
4#400#Normal program#570
4#400#Portrait mode#21
4#400#Shutter priority#121
4#407#Aperture priority#17
4#407#Landscape mode#56
4#407#Normal program#119
4#407#Portrait mode#36
4#428#Landscape mode#51
4#428#Normal program#49
4#428#Portrait mode#1
4#429#Landscape mode#30
4#429#Normal program#1118
4#429#Portrait mode#1
4#453##2
4#453#Landscape mode#4
4#453#Normal program#364
4#454#Landscape mode#14
4#454#Normal program#1521
4#454#Portrait mode#14
4#482##19
4#482#Aperture priority#1196
4#482#Landscape mode#236
4#482#Manual#71
4#482#Normal program#1711
4#482#Portrait mode#81
4#482#Shutter priority#25
4#504#Landscape mode#3
