ifd0_make#ifd0_model#ifds_FocalLength#Count
1#1##40
1#1#5 mm#1385
1#2##4
1#2#4 mm#2026
1#169##7
1#1339#4 mm#121
1#1998#4 mm#16
1#2318#4 mm#150
2#3#4 mm#9
3#4##11
3#4#0 mm#1
3#4#2 mm#7
3#4#4 mm#23163
3#13#4 mm#3452
3#15##27
3#15#4 mm#25790
3#31##16
3#31#2 mm#29
3#31#4 mm#20268
3#31#5 mm#2
3#31#75520 mm#1
3#32#4 mm#1960
3#34##139
3#34#4 mm#8415
3#63#2 mm#1
3#63#4 mm#2198
3#87#4 mm#1361
3#95##6543
3#95#4 mm#1332
3#137##2834
3#176##21
3#176#4 mm#6726
3#460#2 mm#1
3#460#3 mm#1403
3#598#3 mm#79
3#1082##1
3#1082#3 mm#513
3#1082#4 mm#186
3#1433#4 mm#19
3#1636#3 mm#113
3#2173##104
3#3617#2 mm#105
3#3617#4 mm#17
3#3796##2
3#4037#0 mm#13
3#4037#4 mm#1
3#4150#3 mm#1
3#4177##16
4#5#10 mm#2
4#5#11 mm#10
4#5#12 mm#1
4#5#13 mm#4
4#5#14 mm#4
4#5#15 mm#2
4#5#16 mm#6
4#5#17 mm#5
4#5#18 mm#3
4#5#19 mm#1
4#5#21 mm#3
4#5#22 mm#6
4#5#24 mm#3
4#5#25 mm#25
4#5#5 mm#53
4#5#6 mm#15
4#5#7 mm#10
4#5#8 mm#7
4#5#9 mm#5
4#6#10 mm#29
4#6#11 mm#87
4#6#12 mm#43
4#6#13 mm#40
4#6#14 mm#24
4#6#15 mm#34
4#6#16 mm#39
4#6#18 mm#37
4#6#19 mm#44
4#6#20 mm#19
4#6#22 mm#30
4#6#24 mm#41
4#6#25 mm#14
4#6#27 mm#32
4#6#29 mm#21
4#6#31 mm#9
4#6#32 mm#15
4#6#34 mm#9
4#6#36 mm#13
4#6#39 mm#14
4#6#41 mm#22
4#6#44 mm#18
4#6#45 mm#35
4#6#47 mm#206
4#6#5 mm#1148
4#6#6 mm#80
4#6#7 mm#65
4#6#8 mm#53
4#6#9 mm#118
4#45##6
4#45#10 mm#72
4#45#11 mm#65
4#45#12 mm#38
4#45#13 mm#37
4#45#14 mm#36
