ifd0_make#ifd0_model#ifds_MakerNote#Count
1#1##1425
1#2##1988
1#2#@ 0x029E#42
1#169##7
1#1339##121
1#1998##16
1#2318#@ 0x0305#150
2#3##9
3#4##13236
3#4#@ 0x018E#1
3#4#@ 0x0266#4
3#4#@ 0x0268#1
3#4#@ 0x0270#2
3#4#@ 0x0272#19
3#4#@ 0x0278#1
3#4#@ 0x027C#6
3#4#@ 0x027E#18
3#4#@ 0x0280#15
3#4#@ 0x0284#6
3#4#@ 0x0286#128
3#4#@ 0x0288#1
3#4#@ 0x028C#164
3#4#@ 0x028E#5
3#4#@ 0x0292#292
3#4#@ 0x0294#375
3#4#@ 0x0298#114
3#4#@ 0x029A#939
3#4#@ 0x029C#4
3#4#@ 0x029E#344
3#4#@ 0x02A0#1643
3#4#@ 0x02A2#33
3#4#@ 0x02A4#2
3#4#@ 0x02A6#3835
3#4#@ 0x02A8#33
3#4#@ 0x02AA#20
3#4#@ 0x02AC#144
3#4#@ 0x02AE#109
3#4#@ 0x02B0#1
3#4#@ 0x02B2#430
3#4#@ 0x02B4#131
3#4#@ 0x02B8#2
3#4#@ 0x02BA#898
3#4#@ 0x02BC#1
3#4#@ 0x02BE#6
3#4#@ 0x02C0#52
3#4#@ 0x02C2#1
3#4#@ 0x02C6#118
3#4#@ 0x02CC#2
3#4#@ 0x02D2#1
3#4#@ 0x02D6#3
3#4#@ 0x02DA#1
3#4#@ 0x02E2#5
3#4#@ 0x02EE#35
3#4#@ 0x0302#1
3#13#@ 0x0294#3
3#13#@ 0x029A#4
3#13#@ 0x02A0#25
3#13#@ 0x02A2#13
3#13#@ 0x02A6#18
3#13#@ 0x02A8#79
3#13#@ 0x02AC#8
3#13#@ 0x02AE#304
3#13#@ 0x02B2#18
3#13#@ 0x02B4#762
3#13#@ 0x02BA#1589
3#13#@ 0x02C0#337
3#13#@ 0x02C6#277
3#13#@ 0x02CC#5
3#13#@ 0x02D2#10
3#15##23906
3#15#@ 0x020E#10
3#15#@ 0x0264#4
3#15#@ 0x0266#6
3#15#@ 0x026C#2
3#15#@ 0x0270#1
3#15#@ 0x0272#19
3#15#@ 0x027E#6
3#15#@ 0x0280#5
3#15#@ 0x0286#52
3#15#@ 0x028C#7
3#15#@ 0x028E#48
3#15#@ 0x0292#126
3#15#@ 0x0294#65
3#15#@ 0x0298#6
3#15#@ 0x029A#395
3#15#@ 0x029E#49
3#15#@ 0x02A0#65
3#15#@ 0x02A4#4
3#15#@ 0x02A6#876
3#15#@ 0x02AA#1
3#15#@ 0x02AC#12
3#15#@ 0x02AE#3
3#15#@ 0x02B2#106
3#15#@ 0x02B8#2
3#15#@ 0x02BE#1
3#15#@ 0x02CE#20
3#15#@ 0x02E2#20
3#31##16314
3#31#@ 0x018E#2
3#31#@ 0x020E#1
3#31#@ 0x0264#11
3#31#@ 0x0266#4
3#31#@ 0x026A#1
3#31#@ 0x0272#4
3#31#@ 0x0278#2
3#31#@ 0x027A#9
3#31#@ 0x027E#6
3#31#@ 0x0280#19
3#31#@ 0x0284#2
3#31#@ 0x0286#90
3#31#@ 0x0288#6
3#31#@ 0x028C#7
3#31#@ 0x028E#17
3#31#@ 0x0292#194
3#31#@ 0x0294#175
3#31#@ 0x0298#18
3#31#@ 0x029A#1000
3#31#@ 0x029E#172
3#31#@ 0x02A0#184
3#31#@ 0x02A6#1478
3#31#@ 0x02A8#87
3#31#@ 0x02AA#26
3#31#@ 0x02AC#9
3#31#@ 0x02AE#74
3#31#@ 0x02B2#109
3#31#@ 0x02B4#75
3#31#@ 0x02BA#113
3#31#@ 0x02BE#1
3#31#@ 0x02C0#11
3#31#@ 0x02C4#1
3#31#@ 0x02C6#37
3#31#@ 0x02D8#43
3#31#@ 0x02E4#13
3#31#@ 0x02F8#1
3#32##7
3#32#@ 0x02A4#4
3#32#@ 0x02AA#20
3#32#@ 0x02AC#59
3#32#@ 0x02B2#78
3#32#@ 0x02B6#1
3#32#@ 0x02B8#189
3#32#@ 0x02BE#1311
3#32#@ 0x02C4#40
3#32#@ 0x02CA#227
3#32#@ 0x02D0#5
3#32#@ 0x02D6#19
3#34##151
3#34#@ 0x027A#1
3#34#@ 0x0282#1
3#34#@ 0x0286#56
3#34#@ 0x0288#10
3#34#@ 0x028C#15
3#34#@ 0x028E#78
3#34#@ 0x0292#370
3#34#@ 0x0294#184
3#34#@ 0x0298#20
3#34#@ 0x029A#976
3#34#@ 0x029E#260
