ifd0_make,ifd0_model,dht_id,count(*)
1,1,1,1425
1,2,1,2022
1,2,613,1
1,2,614,1
1,2,615,1
1,2,616,1
1,2,617,1
1,2,618,1
1,2,619,1
1,2,620,1
1,169,1,7
1,1339,1,121
1,1998,1,16
1,2318,1,150
2,3,1,9
3,4,1,23182
3,13,1,3452
3,15,1,25627
3,15,2073,1
3,15,2074,1
3,15,2673,1
3,15,2674,1
3,15,2675,1
3,15,2676,1
3,15,2677,1
3,15,2678,1
3,15,2679,1
3,15,2680,1
3,15,2681,1
3,15,2682,1
3,15,2683,1
3,15,2684,1
3,15,2685,1
3,15,2686,1
3,15,2687,1
3,15,2688,1
3,15,2689,1
3,15,2690,1
3,15,2691,1
3,15,2692,1
3,15,2693,1
3,15,2694,1
3,15,2695,1
3,15,2696,1
3,15,2697,1
3,15,2698,1
3,15,2699,1
3,15,2700,1
3,15,2701,1
3,15,2702,1
3,15,2703,1
3,15,2704,1
3,15,2705,1
3,15,2706,1
3,15,2707,1
3,15,2708,1
3,15,2709,1
3,15,2710,1
3,15,2711,1
3,15,2712,1
3,15,2713,2
3,15,2714,1
3,15,2715,1
3,15,2716,1
3,15,2717,1
3,15,2718,1
3,15,2719,1
3,15,2720,1
3,15,2721,1
3,15,2722,1
3,15,2723,1
3,15,2724,1
3,15,2725,1
3,15,2726,1
3,15,2727,1
3,15,2728,1
3,15,2729,1
3,15,2730,1
3,15,2731,1
3,15,2732,1
3,15,2733,1
3,15,2734,1
3,15,2735,1
3,15,2736,1
3,15,2737,1
3,15,2738,1
3,15,2739,1
3,15,2740,1
3,15,2741,1
3,15,2742,1
3,15,2743,1
3,15,2744,1
3,15,2745,1
3,15,2746,1
3,15,2747,1
3,15,2748,1
3,15,2749,1
3,15,2750,1
3,15,2751,1
3,15,2752,1
3,15,2753,1
3,15,2754,1
3,15,2755,1
3,15,2756,1
3,15,2757,1
3,15,2758,1
3,15,2759,1
3,15,2760,1
3,15,2761,1
3,15,2762,1
3,15,2763,1
3,15,2764,1
3,15,2765,1
3,15,2766,1
3,15,2767,1
3,15,2768,1
3,15,2769,1
3,15,2770,1
3,15,2771,1
3,15,2772,1
3,15,2773,1
3,15,2774,1
3,15,2775,1
3,15,2776,1
3,15,2777,1
3,15,2778,1
3,15,2779,1
3,15,2780,1
3,15,2781,1
3,15,2782,1
3,15,2783,1
3,15,2784,1
3,15,2785,1
3,15,2786,1
3,15,2787,1
3,15,2788,1
3,15,2789,1
3,15,2790,1
3,15,2791,1
3,15,2792,1
3,15,2793,1
3,15,2794,1
3,15,2795,1
3,15,2796,1
3,15,2797,1
3,15,2798,1
3,15,2799,1
3,15,2800,1
3,15,2801,1
3,15,2802,1
3,15,2803,1
3,15,2804,1
3,15,2805,1
3,15,2806,1
3,15,2807,1
3,15,2808,1
3,15,2809,1
3,15,2810,1
3,15,2811,1
3,15,2812,1
3,15,2813,1
3,15,2814,1
3,15,2815,1
3,15,2816,1
3,15,2817,1
3,15,2818,1
3,15,2819,1
3,15,2820,1
3,15,2821,1
3,15,2822,1
3,15,2823,1
3,15,2824,1
3,15,2825,1
3,15,2826,1
3,15,2827,1
3,15,2828,1
3,15,2829,1
3,15,2830,1
3,15,2831,1
3,15,2832,1
3,15,2833,1
3,15,2834,1
3,15,2835,1
3,15,2836,1
3,15,2837,1
3,15,2838,1
3,15,2839,1
3,15,2840,1
3,15,2841,1
3,15,2842,1
3,15,2843,1
3,15,2844,1
3,15,2845,1
3,15,2846,1
3,15,2847,1
3,15,2848,1
3,15,2849,1
3,15,2850,1
3,15,2851,1
3,15,2852,1
3,15,2853,1
3,15,2854,1
3,15,2855,1
3,15,2856,1
3,15,2857,1
3,15,4667,1
3,15,4668,1
3,31,1,20289
3,31,2075,1
3,31,2076,1
3,31,2077,1
3,31,2078,1
3,31,2079,1
3,31,2080,1
3,31,2081,1
3,31,2082,1
3,31,2083,1
3,31,2084,1
3,31,2085,1
3,31,2086,1
3,31,2087,1
3,31,2088,1
3,31,2089,1
3,31,2090,1
3,31,2091,1
3,31,2092,1
3,31,2093,1
3,31,2094,1
3,31,2095,1
3,31,2096,1
3,31,2097,1
3,31,2098,1
3,31,2099,1
3,31,2100,1
3,31,3246,1
3,32,1,1960
3,34,1,8553
3,34,611,1
3,63,1,2199
3,87,1,1361
3,95,1,7851
3,95,2101,1
3,95,2102,1
3,95,2103,1
3,95,2104,1
3,95,2105,1
3,95,2106,1
3,95,2107,1
3,95,2108,1
3,95,2109,1
3,95,3231,1
3,95,3232,1
3,95,3233,1
3,95,3234,1
3,95,3235,1
3,95,3236,1
3,95,3237,1
3,95,3238,1
3,95,3239,1
3,95,3240,1
3,95,3241,1
3,95,3242,1
3,95,3243,1
3,95,3244,1
3,95,3245,1
3,137,1,2832
3,137,2067,1
3,137,2068,1
3,176,1,6736
3,176,2069,2
3,176,2070,1
3,176,2071,1
3,176,2072,1
3,176,3172,1
3,176,3173,1
3,176,3174,1
3,176,3175,1
3,176,3176,1
3,176,3177,1
3,460,1,1377
3,460,1302,1
3,460,1303,2
3,460,1304,1
3,460,1305,1
3,460,1306,1
3,460,1307,1
3,460,1308,1
3,460,1309,1
3,460,1310,1
3,460,1311,2
3,460,1312,1
3,460,1313,3
3,460,1314,1
3,460,1315,1
3,460,1316,1
3,460,1317,1
3,460,1318,1
3,460,1319,1
3,460,1320,1
3,460,1321,1
3,460,1322,1
3,460,1323,1
3,460,1324,1
3,598,1,79
3,1082,1,700
3,1433,1,19
3,1636,1,113
3,2173,1,104
3,3617,1,122
3,3796,1,2
3,4037,1,14
3,4150,1,1
3,4177,1,16
4,5,1,165
4,6,1,2320
4,6,363,1
4,6,364,1
4,6,365,1
4,6,366,1
4,6,367,1
4,6,368,1
4,6,369,1
4,6,370,1
4,6,371,1
4,6,372,1
4,6,373,1
4,6,374,1
4,6,375,1
4,6,376,1
4,6,377,1
4,6,378,1
4,6,379,1
4,6,380,1
4,6,381,1
4,45,1,2340
4,45,1969,1
4,45,1970,1
4,45,1971,1
4,45,1972,1
4,45,1973,1
4,45,1974,1
4,45,3405,7
4,46,1,1849
4,64,1,1144
4,94,1,746
4,103,1,2885
4,107,1,63
4,109,1,277
4,131,1,1430
4,141,1,432
4,175,1,1861
4,187,1,78
4,188,1,237
4,203,1,76
4,227,1,1112
4,253,1,306
4,261,1,19
4,266,1,718
4,267,1,418
4,268,1,1016
4,269,1,2766
4,309,1,3961
4,309,387,1
4,309,388,1
4,309,389,1
4,309,390,1
4,309,391,1
4,309,392,1
4,309,393,1
4,309,394,1
4,309,395,1
4,309,396,1
4,309,3225,1
4,309,3226,1
4,309,3227,1
4,309,3228,1
4,309,3229,1
4,309,3230,1
4,309,5856,1
4,309,5857,1
4,309,5858,1
4,309,5859,1
4,309,5860,1
4,309,5861,1
4,309,5862,1
4,309,5863,1
4,309,5864,1
4,309,5865,1
4,309,5866,1
4,309,5867,1
4,309,5868,1
4,309,5869,1
4,309,5870,1
4,309,5871,1
4,309,5872,1
4,309,5873,1
4,309,5874,1
4,309,5875,1
4,309,5876,1
4,309,5877,1
4,309,5878,1
4,309,5879,1
4,309,5880,1
4,309,5881,1
4,309,5882,1
4,309,5883,1
4,309,5884,1
4,309,5885,1
4,309,5886,1
4,309,5887,1
4,309,5888,1
4,309,5889,1
4,309,5890,1
4,309,5891,1
4,309,5892,1
4,309,5893,1
4,309,5894,1
4,309,5895,1
4,309,5896,1
4,309,5897,1
4,309,5898,1
4,309,5899,1
4,309,5900,1
4,309,5901,1
4,309,5902,1
4,309,5903,1
4,309,5904,1
