DateTime,Canon_Count
2014-12-00,679
2014-11-00,868
2014-10-00,312
2014-09-00,715
2014-08-00,466
2014-07-00,688
2014-06-00,1088
2014-05-00,1370
2014-04-00,858
2014-03-00,1004
2014-02-00,814
2014-01-00,2089
2013-12-00,1222
2013-11-00,2302
2013-10-00,2339
2013-09-00,3947
2013-08-00,4918
2013-07-00,5014
2013-06-00,3862
2013-05-00,3325
2013-04-00,2314
2013-03-00,1744
2013-02-00,1005
2013-01-00,1351
2012-12-00,1473
2012-11-00,2281
2012-10-00,1912
2012-09-00,2208
2012-08-00,2482
2012-07-00,2638
2012-06-00,2250
2012-05-00,2642
2012-04-00,1836
2012-03-00,3243
2012-02-00,1403
2012-01-00,1994
2011-12-00,1400
2011-11-00,2001
2011-10-00,2476
2011-09-00,3004
2011-08-00,2548
2011-07-00,3211
2011-06-00,2509
2011-05-00,2590
2011-04-00,3014
2011-03-00,3186
2011-02-00,2290
2011-01-00,2205
2010-12-00,3100
2010-11-00,3826
2010-10-00,2527
2010-09-00,2817
2010-08-00,4606
2010-07-00,4897
2010-06-00,3187
2010-05-00,3221
2010-04-00,3585
2010-03-00,3320
2010-02-00,3386
2010-01-00,2975
2009-12-00,2610
2009-11-00,4319
2009-10-00,3933
2009-09-00,2781
2009-08-00,3711
2009-07-00,4927
2009-06-00,4664
2009-05-00,3779
2009-04-00,2882
2009-03-00,3723
2009-02-00,3987
2009-01-00,4493
2008-12-00,4030
2008-11-00,2741
2008-10-00,4533
2008-09-00,4413
2008-08-00,4209
2008-07-00,3689
2008-06-00,4437
2008-05-00,5028
2008-04-00,3765
2008-03-00,3214
2008-02-00,2791
2008-01-00,3809
2007-12-00,3691
2007-11-00,2312
2007-10-00,3560
2007-09-00,4532
2007-08-00,6664
2007-07-00,4099
2007-06-00,2560
2007-05-00,2729
2007-04-00,1870
2007-03-00,2356
2007-02-00,1457
2007-01-00,1577
2006-12-00,1774
2006-11-00,1895
2006-10-00,2261
2006-09-00,2131
2006-08-00,2754
2006-07-00,2891
2006-06-00,1892
2006-05-00,1577
2006-04-00,1938
2006-03-00,2266
2006-02-00,1838
2006-01-00,1347
2005-12-00,1232
2005-11-00,838
2005-10-00,1363
2005-09-00,1082
2005-08-00,2060
2005-07-00,2137
2005-06-00,2383
2005-05-00,1582
2005-04-00,2042
2005-03-00,964
2005-02-00,1036
2005-01-00,795
2004-12-00,885
2004-11-00,805
2004-10-00,753
2004-09-00,792
2004-08-00,979
2004-07-00,1025
2004-06-00,807
2004-05-00,449
2004-04-00,405
2004-03-00,605
2004-02-00,285
2004-01-00,377
