Model,Counts
Nexus 4,1425
Nexus 5,2030
iPhone 5,23183
DMC-FS10,165
DMC-TZ5,2339
GT-I9000,806
NIKON D90,12717
CYBERSHOT,6224
COOLPIX L28,37
TG-2,874
NIKON D5100,2264
iPhone 6,3452
NIKON D7000,7021
iPhone 4,25818
NIKON D70s,4163
COOLPIX L21,398
COOLPIX S220,1227
E4600,949
E52-1,279
E66,179
E7-00,384
N73,2283
PENTAX Optio S6,654
GT-I9300,3228
GT-I9500,1858
DSC-T77,768
DSC-W510,191
"HD2..,%=.....",320
TG-310,98
iPhone 4S,20325
iPhone 6 Plus,1960
HERO3+ Black Edition,287
iPhone 5s,8554
Canon EOS 500D,9889
HTC One,2336
Canon PowerShot SD790 IS,1304
GT-I9082,348
Canon PowerShot SD1000,1627
Canon PowerShot SD1100 IS,1846
ADR6350,153
LG-VX8575,65
COOLPIX P300,528
DMC-FZ18,2353
DMC-LX5,1849
DSC-P41,144
DSC-S730,514
DSC-W100,2338
Canon EOS 450D,9123
Canon EOS 1000D,6961
Canon EOS 400D DIGITAL,12005
Canon EOS 550D,11011
5230,365
Lumia 1520,389
Lumia 625,44
Lumia 920,1349
Lumia 925,576
GT-S7500,25
DSC-S600,1332
COOLPIX S10,1332
"C2Z,D520Z,C220Z",517
iPad,2201
DMC-FZ100,1144
HDR-XR550,150
ILCE-7,553
Canon PowerShot SD1200 IS,1024
KODAK C663 ZOOM DIGITAL CAMER,147
KODAK EASYSHARE C643 ZOOM DIG,395
KODAK EASYSHARE C743 ZOOM DIG,378
HTC Sensation 4G,29
MB200,234
E5900,691
BlackBerry 8320,302
DSC-P10,2679
DSC-W55,3364
SCH-I545,379
Canon DIGITAL IXUS 860 IS,3137
COOLPIX P520,462
NEX-5,2398
NIKON D3100,6458
SP-620UZ,159
BlackBerry 9790,128
BlackBerry 9860,13
NIKON D300,2819
SLT-A77V,2225
iPhone 5c,1361
Hero3-Black Edition,2690
Windows Phone 8X by HTC,234
DSC-WX50,614
GT-I9192,20
DSC-N1,879
DSC-WX300,294
DMC-FZ45,746
iPhone,7886
COOLPIX P1,183
SP-1500,410
E5400,373
SP560UZ,344
Canon DIGITAL IXUS 75,1575
"u850SW,S850SW",680
DMC-TZ3,2885
DSC-T1,1946
GT-S7560,25
Canon EOS Kiss X4,791
DMC-GF5,63
HTC One X,1297
DMC-FS16,277
Aquaris E5 FHD,22
Canon PowerShot A720 IS,1720
Galaxy Nexus,2263
DSC-H2,1318
DSC-HX100V,2234
COOLPIX AW100,1279
COOLPIX AW110,1007
BlackBerry 9800,393
ST26i,16
FinePix F770EXR,56
HERO3+ Silver Edition,174
HTC One V,218
NEX-3,1527
Canon EOS DIGITAL REBEL XSi,4451
Canon EOS DIGITAL REBEL XT,5428
Canon PowerShot A570 IS,993
Canon PowerShot A60,1366
KODAK CX7330 ZOOM DIGITAL CAM,168
FinePix F470,71
C7070WZ,203
DMC-FX01,1430
Digimax A7/Kenox D7,57
<Digimax S500 / Kenox S500 / ,1609
SAMSUNG-SGH-I337,386
SAMSUNG-SGH-I777,186
DSC-P200,3174
iPhone 3G,2834
Canon EOS 5D Mark II,8391
FinePix XP10,33
NIKON D60,5948
DMC-G1,432
201,391
DSC-T2,454
