DateTime,NIKON_Count
2014-12-00,421
2014-11-00,349
2014-10-00,512
2014-09-00,251
2014-08-00,606
2014-07-00,787
2014-06-00,877
2014-05-00,706
2014-04-00,572
2014-03-00,735
2014-02-00,1105
2014-01-00,328
2013-12-00,994
2013-11-00,433
2013-10-00,1342
2013-09-00,3891
2013-08-00,5870
2013-07-00,2658
2013-06-00,3030
2013-05-00,2085
2013-04-00,1536
2013-03-00,725
2013-02-00,964
2013-01-00,1660
2012-12-00,659
2012-11-00,1202
2012-10-00,1093
2012-09-00,1279
2012-08-00,751
2012-07-00,945
2012-06-00,1361
2012-05-00,1396
2012-04-00,1273
2012-03-00,882
2012-02-00,871
2012-01-00,623
2011-12-00,1180
2011-11-00,770
2011-10-00,1277
2011-09-00,870
2011-08-00,1139
2011-07-00,1256
2011-06-00,1746
2011-05-00,1038
2011-04-00,1306
2011-03-00,1151
2011-02-00,612
2011-01-00,679
2010-12-00,695
2010-11-00,1168
2010-10-00,1270
2010-09-00,979
2010-08-00,1385
2010-07-00,1406
2010-06-00,1136
2010-05-00,1069
2010-04-00,825
2010-03-00,763
2010-02-00,644
2010-01-00,499
2009-12-00,985
2009-11-00,906
2009-10-00,676
2009-09-00,919
2009-08-00,1233
2009-07-00,1035
2009-06-00,996
2009-05-00,1569
2009-04-00,1256
2009-03-00,839
2009-02-00,751
2009-01-00,892
2008-12-00,789
2008-11-00,617
2008-10-00,1292
2008-09-00,940
2008-08-00,780
2008-07-00,1362
2008-06-00,870
2008-05-00,658
2008-04-00,649
2008-03-00,810
2008-02-00,729
2008-01-00,699
2007-12-00,1012
2007-11-00,746
2007-10-00,1049
2007-09-00,1112
2007-08-00,1638
2007-07-00,746
2007-06-00,269
2007-05-00,472
2007-04-00,343
2007-03-00,213
2007-02-00,560
2007-01-00,409
2006-12-00,250
2006-11-00,196
2006-10-00,475
2006-09-00,490
2006-08-00,430
2006-07-00,167
2006-06-00,150
2006-05-00,303
2006-04-00,296
2006-03-00,149
2006-02-00,135
2006-01-00,107
2005-12-00,47
2005-11-00,77
2005-10-00,68
2005-09-00,199
2005-08-00,199
2005-07-00,245
2005-06-00,129
2005-05-00,30
2005-04-00,31
2005-03-00,241
2005-02-00,31
2005-01-00,56
2004-12-00,50
2004-11-00,13
2004-10-00,59
2004-09-00,22
2004-08-00,47
2004-07-00,21
2004-06-00,60
2004-05-00,2
2004-04-00,119
2004-03-00,1
2004-02-00,177
2004-01-00,2
