DateTime,SONY_Count
2014-12-00,600
2014-11-00,917
2014-10-00,1500
2014-09-00,873
2014-08-00,730
2014-07-00,1223
2014-06-00,1165
2014-05-00,1866
2014-04-00,1200
2014-03-00,884
2014-02-00,1811
2014-01-00,1289
2013-12-00,1370
2013-11-00,1701
2013-10-00,3060
2013-09-00,2332
2013-08-00,6614
2013-07-00,4721
2013-06-00,5656
2013-05-00,6438
2013-04-00,3101
2013-03-00,1841
2013-02-00,2172
2013-01-00,2160
2012-12-00,2045
2012-11-00,2062
2012-10-00,3279
2012-09-00,1947
2012-08-00,1831
2012-07-00,2419
2012-06-00,1978
2012-05-00,2570
2012-04-00,1247
2012-03-00,2665
2012-02-00,1644
2012-01-00,1460
2011-12-00,1044
2011-11-00,1790
2011-10-00,1195
2011-09-00,1396
2011-08-00,2277
2011-07-00,2088
2011-06-00,1004
2011-05-00,1160
2011-04-00,1840
2011-03-00,2131
2011-02-00,1183
2011-01-00,1610
2010-12-00,967
2010-11-00,1270
2010-10-00,1253
2010-09-00,1527
2010-08-00,1987
2010-07-00,2114
2010-06-00,1507
2010-05-00,2034
2010-04-00,2017
2010-03-00,1337
2010-02-00,1456
2010-01-00,1497
2009-12-00,1916
2009-11-00,1969
2009-10-00,1809
2009-09-00,1806
2009-08-00,2125
2009-07-00,3577
2009-06-00,1748
2009-05-00,2099
2009-04-00,1701
2009-03-00,1218
2009-02-00,1042
2009-01-00,2110
2008-12-00,1596
2008-11-00,1444
2008-10-00,1430
2008-09-00,2141
2008-08-00,2417
2008-07-00,1730
2008-06-00,1206
2008-05-00,1508
2008-04-00,1362
2008-03-00,1914
2008-02-00,1843
2008-01-00,2027
2007-12-00,1674
2007-11-00,1563
2007-10-00,2194
2007-09-00,1728
2007-08-00,2989
2007-07-00,2018
2007-06-00,1311
2007-05-00,1440
2007-04-00,1334
2007-03-00,1089
2007-02-00,1662
2007-01-00,1188
2006-12-00,1106
2006-11-00,704
2006-10-00,679
2006-09-00,810
2006-08-00,1920
2006-07-00,1273
2006-06-00,2293
2006-05-00,1149
2006-04-00,894
2006-03-00,1095
2006-02-00,737
2006-01-00,1261
2005-12-00,1228
2005-11-00,472
2005-10-00,973
2005-09-00,996
2005-08-00,1514
2005-07-00,1049
2005-06-00,786
2005-05-00,377
2005-04-00,532
2005-03-00,888
2005-02-00,748
2005-01-00,319
2004-12-00,552
2004-11-00,463
2004-10-00,318
2004-09-00,578
2004-08-00,547
2004-07-00,438
2004-06-00,276
2004-05-00,310
2004-04-00,354
2004-03-00,165
2004-02-00,228
2004-01-00,220
