key,values,date
Canon_Count,287,1/1/2001
Canon_Count,1336,1/1/2002
Canon_Count,3816,1/1/2003
Canon_Count,8167,1/1/2004
Canon_Count,17514,1/1/2005
Canon_Count,24564,1/1/2006
Canon_Count,37407,1/1/2007
Canon_Count,46659,1/1/2008
Canon_Count,45809,1/1/2009
Canon_Count,41447,1/1/2010
Canon_Count,30434,1/1/2011
Canon_Count,26362,1/1/2012
Canon_Count,33343,1/1/2013
Canon_Count,10951,1/1/2014
Canon_Count,1402,1/1/2015
Nikon_Count,5,1/1/2001
Nikon_Count,24,1/1/2002
Nikon_Count,77,1/1/2003
Nikon_Count,573,1/1/2004
Nikon_Count,1353,1/1/2005
Nikon_Count,3148,1/1/2006
Nikon_Count,8569,1/1/2007
Nikon_Count,10195,1/1/2008
Nikon_Count,12057,1/1/2009
Nikon_Count,11839,1/1/2010
Nikon_Count,13024,1/1/2011
Nikon_Count,12335,1/1/2012
Nikon_Count,25188,1/1/2013
Nikon_Count,7249,1/1/2014
Nikon_Count,1186,1/1/2015
Sony_Count,460,1/1/2001
Sony_Count,952,1/1/2002
Sony_Count,1571,1/1/2003
Sony_Count,4449,1/1/2004
Sony_Count,9882,1/1/2005
Sony_Count,13921,1/1/2006
Sony_Count,20190,1/1/2007
Sony_Count,20618,1/1/2008
Sony_Count,23120,1/1/2009
Sony_Count,18966,1/1/2010
Sony_Count,18718,1/1/2011
Sony_Count,25147,1/1/2012
Sony_Count,41166,1/1/2013
Sony_Count,14058,1/1/2014
Sony_Count,1658,1/1/2015
Panasonic_Count,1,1/1/2001
Panasonic_Count,21,1/1/2002
Panasonic_Count,41,1/1/2003
Panasonic_Count,723,1/1/2004
Panasonic_Count,2518,1/1/2005
Panasonic_Count,2614,1/1/2006
Panasonic_Count,6659,1/1/2007
Panasonic_Count,8941,1/1/2008
Panasonic_Count,15401,1/1/2009
Panasonic_Count,15229,1/1/2010
Panasonic_Count,14113,1/1/2011
Panasonic_Count,14373,1/1/2012
Panasonic_Count,11650,1/1/2013
Panasonic_Count,6579,1/1/2014
Panasonic_Count,598,1/1/2015
Apple_Count,0,1/1/2001
Apple_Count,0,1/1/2002
Apple_Count,0,1/1/2003
Apple_Count,0,1/1/2004
Apple_Count,0,1/1/2005
Apple_Count,0,1/1/2006
Apple_Count,507,1/1/2007
Apple_Count,2235,1/1/2008
Apple_Count,2945,1/1/2009
Apple_Count,6737,1/1/2010
Apple_Count,14038,1/1/2011
Apple_Count,19371,1/1/2012
Apple_Count,30533,1/1/2013
Apple_Count,23178,1/1/2014
Apple_Count,5342,1/1/2015
