photo_id,dht_id,dqt_id,chr_id,width,height,quality,has_dri,has_thumbnail,marker_cnt,marker_order,marker_size,ifd_order,ifd_size,ifd0_unknown,ifd1_unknown,ifds_unknown,ifdi_unknown,ifdg_unknown,ifd0_bit,ifd1_bit,ifds_bit,ifdi_bit,ifdg_bit,ifd0_ImageDescription,ifd0_Make,ifd0_Model,ifd0_Orientation,ifd0_XResolution,ifd0_YResolution,ifd0_ResolutionUnit,ifd0_Software,ifd0_DateTime,ifd0_Artist,ifd0_WhitePoint,ifd0_PrimChromaticities,ifd0_YCbCrCoefficients,ifd0_YCbCrPositioning,ifd0_ReferenceBlackWhite,ifd0_Copyright,ifd0_ExifOffset,ifd0_GPSOffset,ifd0_XPTitle,ifd0_XPComment,ifd0_XPAuthor,ifd0_XPKeywords,ifd0_XPSubject,ifd0_CustomRendered,ifd0_ExposureMode,ifd0_WhiteBalance,ifd0_SceneCaptureType,ifd1_ImageWidth,ifd1_ImageLength,ifd1_BitsPerSample,ifd1_Compression,ifd1_PhotometricInterpretation,ifd1_StripOffsets,ifd1_SamplesPerPixel,ifd1_RowsPerStrip,ifd1_StripByteConunts,ifd1_XResolution,ifd1_YResolution,ifd1_PlanarConfiguration,ifd1_ResolutionUnit,ifd1_JpegIFOffset,ifd1_JpegIFByteCount,ifd1_YCbCrCoefficients,ifd1_YCbCrSubSampling,ifd1_YCbCrPositioning,ifd1_ReferenceBlackWhite,ifds_NewSubfileType,ifds_SubfileType,ifds_TransferFunction,ifds_Artist,ifds_Predictor,ifds_TileWidth,ifds_TileLength,ifds_TileOffsets,ifds_TileByteCounts,ifds_SubIFDs,ifds_JPEGTables,ifds_CFARepeatPatternDim,ifds_CFAPattern1,ifds_BatteryLevel,ifds_ExposureTime,ifds_FNumber,ifds_IPTC,ifds_InterColorProfile,ifds_ExposureProgram,ifds_SpectralSensitivity,ifds_GPSInfo,ifds_ISOSpeedRatings,ifds_OECF,ifds_Interlace,ifds_TimeZoneOffset,ifds_SelfTimerMode,ifds_ExifVersion,ifds_DateTimeOriginal,ifds_DateTimeDigitized,ifds_ComponentsConfiguration,ifds_CompressedBitsPerPixel,ifds_ShutterSpeedValue,ifds_ApertureValue,ifds_BrightnessValue,ifds_ExposureBiasValue,ifds_MaxApertureValue,ifds_SubjectDistance,ifds_MeteringMode,ifds_LightSource,ifds_Flash,ifds_FocalLength,ifds_FlashEnergy,ifds_SpatialFrequencyResponse1,ifds_Noise,ifds_ImageNumber,ifds_SecurityClassification,ifds_ImageHistory,ifds_SubjectLocation1,ifds_ExposureIndex1,ifds_TIFF,ifds_MakerNote,ifds_UserComment,ifds_SubSecTime,ifds_SubSecTimeOriginal,ifds_SubSecTimeDigitized,ifds_FlashPixVersion,ifds_ColorSpace,ifds_ExifImageWidth,ifds_ExifImageHeight,ifds_RelatedSoundFile,ifds_ExifInteroperabilityOffset,ifds_FlashEnergyUnsigned,ifds_SpatialFrequencyResponse2,ifds_FocalPlaneXResolution,ifds_FocalPlaneYResolution,ifds_FocalPlaneResolutionUnit,ifds_SubjectLocation2,ifds_ExposureIndex2,ifds_SensingMethod,ifds_FileSource,ifds_SceneType,ifds_CFAPattern2,ifds_CustomRendered,ifds_ExposureMode,ifds_WhiteBalance,ifds_DigitalZoomRatio,ifds_FocalLengthIn35mmFilm,ifds_SceneCaptureType,ifds_GainControl,ifds_Contrast,ifds_Saturation,ifds_Sharpness,ifds_DeviceSettingDescription,ifds_SubjectDistanceRange,ifds_ImageUniqueID,ifdi_InteroperabilityIndex,ifdi_InteroperabilityVersion,ifdi_RelatedImageFileFormat,ifdi_RelatedImageWidth,ifdi_RelatedImageLength,ifdg_GPSVersionID,ifdg_GPSLatitudeRef,ifdg_GPSLatitude,ifdg_GPSLongitudeRef,ifdg_GPSLongitude,ifdg_GPSAltitudeRef,ifdg_GPSAltitude,ifdg_GPSTimeStamp,ifdg_GPSSatellites,ifdg_GPSStatus,ifdg_GPSMeasureMode,ifdg_GPSDOP,ifdg_GPSSpeedRef,ifdg_GPSSpeed,ifdg_GPSTrackRef,ifdg_GPSTrack,ifdg_GPSImgDirectionRef,ifdg_GPSImgDirection,ifdg_GPSMapDatum,ifdg_GPSDestLatitudeRef,ifdg_GPSDestLatitude,ifdg_GPSDestLongitudeRef,ifdg_GPSDestLongitude,ifdg_GPSDestBearingRef,ifdg_GPSDestBearing,ifdg_GPSDestDistanceRef,ifdg_GPSDestDistance,ifdg_GPSProcessingMethod,ifdg_GPSAreaInformation,ifdg_GPSDateStamp,ifdg_GPSDifferential,whitelist
10000218205,1,1,4,1840,3264,94.975,0,0,7,1:2:3:4:5:6:7,0:2:31807:134:19:420:1749609,5:0:2:3:4:1,0:20:302:270:30:6,0,0,0,0,0,011011100000010011000000000,0001000001101110000,0000000000000010000001000011110010100101100000000000000111101000000000000000000000000,11000,0000000000000000000000000000000,,15,1414,,72/1,72/1,Inch,1,,,,,,Centered,,,"@ 0x0136","@ 0x0262",,,,,,,,,,,,,JPEG,,,,,,72/1,72/1,,Inch,"@ +0x02C6 = @ 0x02D2","0x[0000796F] / 31087",,,,,,,,,,,,,,,,,,,"530/1000000 s",,,,,,,102,,,,,02.20,"2013:08:19 15:56:42","2013:08:19 15:56:42","[Y Cb Cr .]",,,2000000/1000000,,"0.00 eV",,,CenterWeightedAverage,,"Flash did not fire","4 mm",,,,,,,,,,,,,,,01.00,sRGB,"0x[00000730] / 1840","0x[00000CC0] / 3264",,"@ 0x0244",,,,,,,,,,,,,,,,,,,,,,,,,R98,01.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1000031077,1,239,3,960,1280,89.83500000000001,0,0,11,1:2:3:3:4:5:5:5:5:6:7,0:2:17546:69:69:19:33:183:33:183:287081,4:0:2:5:1,0:20:320:358:1568,4,4,0,0,0,111011101000010010000001111,0001000001101110000,0000000000000011001001000011111000110111100000000010000111100000000001100000000000000,00000,0000000000000000000000000000000,,7,730,,72/1,72/1,Inch,1,"2007:07:22 11:15:11",,,,,Co-sited,,,"@ 0x0148",,,,,,,"Normal process","Manual exposure","Auto white balance",Standard,,,,JPEG,,,,,,72/1,72/1,,Inch,"@ +0x097E = @ 0x098A","0x[00003B02] / 15106",,,,,,,,,,,,,,,,,,,"10/400 s",F2.8,,,"Normal program",,,80,,,,,02.20,"2007:07:22 11:15:11","2007:07:22 11:15:11","[Y Cb Cr .]",4/1,,,,"0.70 eV",48/16,,Spot,unknown,"Flash fired","5 mm",,,,,,,,,,"@ 0x02AE",,,,,01.00,sRGB,"0x[000003C0] / 960","0x[00000500] / 1280",,,,,,,,,,,DSC,"A directly photographed image",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10000496914,1,642,2,4288,2848,97.44,0,0,7,1:2:3:4:5:6:7,0:2:65536:134:19:420:6457518,0:2:5:3:4:1,20:220:636:33750:30:20,0,0,0,0,0,011111111000010011000000000,0001000001101110010,0000000000000011001001000011111000110111100000000011111111101000000011101111111111010,11000,1000000000000000000000000000000,,6,8,"1 = Row 0: top, Col 0: left",300/1,300/1,Inch,7,"2011:06:06 09:44:39",,,,,Co-sited,,,"@ 0x00E4","@ 0x8754",,,,,,,,,,,,,JPEG,,,,,,300/1,300/1,,Inch,"@ +0x87D4 = @ 0x87E0","0x[00002525] / 9509",,,Co-sited,,,,,,,,,,,,,,,,"10/32000 s",F4.0,,,Manual,,,200,,,,,02.21,"2011:06:06 09:44:39","2011:06:06 09:44:39","[Y Cb Cr .]",4/1,,,,"0.00 eV",40/10,,Pattern,unknown,"Flash did not fire","28 mm",,,,,,,,,,"@ 0x0360",,00,00,00,01.00,sRGB,4288,2848,,"@ 0x8736",,,,,,,,"One-chip color area sensor",DSC,"A directly photographed image",,"Normal process","Manual exposure","Auto white balance",1/1,42,Standard,0,0,0,0,,0,,R98,01.00,,,,2.2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10000505715,1,305,2,3264,2448,96.205,0,1,7,1:2:3:4:5:6:7,0:2:11776:134:19:420:3233571,4:0:2:5:3:1,0:20:188:482:2402:78,0,0,0,0,0,011111101000010010000000000,0001000001101110000,0000000000000011000000000011111110110101100000000011000111101001110011001111010000000,11011,0000000000000000000000000000000,,14,421,"8 = Row 0: left, Col 0: botto",180/1,180/1,Inch,1,"2013:09:23 14:31:36",,,,,Centered,,,"@ 0x00C4",,,,,,,,,,,,,,JPEG,,,,,,180/1,180/1,,Inch,"@ +0x13F4 = @ 0x1400","0x[000018B1] / 6321",,,,,,,,,,,,,,,,,,,"1/1250 s",F3.5,,,,,,,,,,,02.20,"2013:09:23 14:31:36","2013:09:23 14:31:36","[Y Cb Cr .]",5/1,329/32,116/32,,"0.00 eV",116/32,,Pattern,,"Flash did not fire","15 mm",,,,,,,,,,"@ 0x02A6",,,,,01.00,sRGB,3264,2448,,"@ 0x0C08",,,3264000/286,2448000/214,Inch,,,"One-chip color area sensor",DSC,,,"Normal process","Auto exposure","Auto white balance",3264/3264,,Standard,,,,,,,,R98,01.00,,3264,2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10000508355,1,305,2,3264,2448,96.205,0,1,7,1:2:3:4:5:6:7,0:2:12288:134:19:420:4693101,4:0:2:5:3:1,0:20:188:482:2402:78,0,0,0,0,0,011111101000010010000000000,0001000001101110000,0000000000000011000000000011111110110101100000000011000111101001110011001111010000000,11011,0000000000000000000000000000000,,14,421,"8 = Row 0: left, Col 0: botto",180/1,180/1,Inch,1,"2013:09:23 14:30:51",,,,,Centered,,,"@ 0x00C4",,,,,,,,,,,,,,JPEG,,,,,,180/1,180/1,,Inch,"@ +0x13F4 = @ 0x1400","0x[00001B54] / 6996",,,,,,,,,,,,,,,,,,,"1/1000 s",F2.8,,,,,,,,,,,02.20,"2013:09:23 14:30:51","2013:09:23 14:30:51","[Y Cb Cr .]",5/1,319/32,95/32,,"0.00 eV",95/32,,Pattern,,"Flash did not fire","7 mm",,,,,,,,,,"@ 0x02A6",,,,,01.00,sRGB,3264,2448,,"@ 0x0C08",,,3264000/286,2448000/214,Inch,,,"One-chip color area sensor",DSC,,,"Normal process","Auto exposure","Auto white balance",3264/3264,,Standard,,,,,,,,R98,01.00,,3264,2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10000667,1,235,2,2560,1920,85.99000000000001,0,1,7,1:2:3:5:4:6:7,0:2:55367:199:420:19:885155,4:0:2:1:3:5,0:20:334:688:94:30,1,0,0,0,0,111111111000010010000000000,0001000001101110000,0000000000000011001001000011111001110111100000010011000111101000000001101111111111010,11000,0000000000000000000000000000000,"KONICA MINOLTA DIGITAL CAMERA",41,1142,"1 = Row 0: top, Col 0: left",72/1,72/1,Inch,819,"2005:04:17 01:35:59",,,,,Co-sited,,,"@ 0x0156",,,,,,,,,,,,,,JPEG,,,,,,72/1,72/1,,Inch,"@ +0x0FF4 = @ 0x1000","0x[000013E4] / 5092",,,,,,,,,,,,,,,,,,,"10/900 s",F2.8,,,"Normal program",,,50,,,,,02.20,"2005:04:17 01:35:59","2005:04:17 01:35:59","[Y Cb Cr .]",2/1,,,42/10,"0.00 eV",297/100,,Pattern,unknown,"Flash did not fire","6 mm",,,,,,,"1280, 960, 640, 480",,,"@ 0x0482",,,,,01.00,sRGB,"0x[00000A00] / 2560","0x[00000780] / 1920",,"@ 0x0464",,,,,,,,,DSC,"A directly photographed image",,"Normal process","Auto exposure","Auto white balance",0/100,37,Standard,0,0,0,0,,3,,R98,01.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10000673986,1,34,2,4288,2848,98.205,0,0,7,1:2:3:4:5:6:7,0:2:65536:134:19:420:4168919,0:2:5:3:4:1,20:220:636:33868:32:20,0,0,0,0,0,011111111000010011000000000,0001000001101110010,0000000000000011001001000011111000110111100000000011111111101000000011101111111111010,11000,1000000000000000000000000000000,,6,8,"1 = Row 0: top, Col 0: left",300/1,300/1,Inch,7,"2011:08:10 11:31:10",,,,,Co-sited,,,"@ 0x00E4","@ 0x87CC",,,,,,,,,,,,,JPEG,,,,,,300/1,300/1,,Inch,"@ +0x884C = @ 0x8858","0x[00002441] / 9281",,,Co-sited,,,,,,,,,,,,,,,,"10/5000 s",F11.0,,,"Not defined",,,200,,,,,02.21,"2011:08:10 11:31:10","2011:08:10 11:31:10","[Y Cb Cr .]",4/1,,,,"0.00 eV",36/10,,Pattern,unknown,"Flash did not fire","18 mm",,,,,,,,,,"@ 0x0360",,00,00,00,01.00,sRGB,4288,2848,,"@ 0x87AC",,,,,,,,"One-chip color area sensor",DSC,"A directly photographed image",,"Normal process","Auto exposure","Auto white balance",1/1,27,Landscape,0,0,0,0,,0,,R98,01.00,,,,2.2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10000677214,1,34,2,4288,2848,98.205,0,0,7,1:2:3:4:5:6:7,0:2:65536:134:19:420:6652670,0:2:5:3:4:1,20:220:636:32860:32:20,0,0,0,0,0,011111111000010011000000000,0001000001101110010,0000000000000011001001000011111000110111100000000011111111101000000011101111111111010,11000,1000000000000000000000000000000,,6,8,"1 = Row 0: top, Col 0: left",300/1,300/1,Inch,7,"2011:08:09 10:40:05",,,,,Co-sited,,,"@ 0x00E4","@ 0x83DC",,,,,,,,,,,,,JPEG,,,,,,300/1,300/1,,Inch,"@ +0x845C = @ 0x8468","0x[000023C2] / 9154",,,Co-sited,,,,,,,,,,,,,,,,"10/2500 s",F10.0,,,"Not defined",,,220,,,,,02.21,"2011:08:09 10:40:05","2011:08:09 10:40:05","[Y Cb Cr .]",4/1,,,,"0.00 eV",36/10,,Pattern,unknown,"Flash did not fire","18 mm",,,,,,,,,,"@ 0x0360",,00,00,00,01.00,sRGB,4288,2848,,"@ 0x83BC",,,,,,,,"One-chip color area sensor",DSC,"A directly photographed image",,"Normal process","Auto exposure","Auto white balance",1/1,27,Landscape,0,0,0,0,,0,,R98,01.00,,,,2.2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10000705054,1,34,2,4288,2848,98.205,0,0,7,1:2:3:4:5:6:7,0:2:65536:134:19:420:5897205,0:2:5:3:4:1,20:220:636:33616:32:20,0,0,0,0,0,011111111000010011000000000,0001000001101110010,0000000000000011001001000011111000110111100000000011111111101000000011101111111111010,11000,1000000000000000000000000000000,,6,8,"1 = Row 0: top, Col 0: left",300/1,300/1,Inch,7,"2011:08:09 10:38:51",,,,,Co-sited,,,"@ 0x00E4","@ 0x86D0",,,,,,,,,,,,,JPEG,,,,,,300/1,300/1,,Inch,"@ +0x8750 = @ 0x875C","0x[00002421] / 9249",,,Co-sited,,,,,,,,,,,,,,,,"10/20000 s",F4.0,,,Manual,,,200,,,,,02.21,"2011:08:09 10:38:51","2011:08:09 10:38:51","[Y Cb Cr .]",4/1,,,,"0.00 eV",40/10,,Pattern,unknown,"Flash did not fire","26 mm",,,,,,,,,,"@ 0x0360",,00,00,00,01.00,sRGB,4288,2848,,"@ 0x86B0",,,,,,,,"One-chip color area sensor",DSC,"A directly photographed image",,"Normal process","Manual exposure","Auto white balance",1/1,39,Standard,0,0,0,2,,0,,R98,01.00,,,,2.2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10000734914,1,303,2,5184,3456,97.4,0,1,7,1:2:3:4:5:6:7,0:2:20702:134:19:420:6831991,4:0:2:5:3:1,0:20:340:466:7782:46,0,0,0,0,0,011111101100010110000000000,0001000001101110000,0000000000000011001001000011110110100101100000000011111111101001110000001110010000000,11000,0000000000000000000000000000000,,14,53,"1 = Row 0: top, Col 0: left",72/1,72/1,Inch,1,"2013:08:15 18:31:24",,,,,Co-sited,,,"@ 0x015C",,,,,,,,,,,,,,JPEG,,,,,,72/1,72/1,,Inch,"@ +0x2220 = @ 0x222C","0x[00002EB1] / 11953",,,,,,,,,,,,,,,,,,,"1/125 s",F11.0,,,"Landscape mode",,,100,,,,,02.21,"2013:08:15 18:31:24","2013:08:15 18:31:24","[Y Cb Cr .]",,458752/65536,458752/65536,,"0.00 eV",,,Pattern,,"Flash did not fire","18 mm",,,,,,,,,,"@ 0x032E",,30,30,30,01.00,sRGB,5184,3456,,"@ 0x2194",,,5184000/905,3456000/595,Inch,,,,,,,"Normal process","Auto exposure","Auto white balance",,,Standard,,,,,,,,R98,01.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
