date	Canon_Count	Nikon_Count	Sony_Count	Panasonic_Count	Apple_Count
1/1/2001	287	5	460	1	0
1/1/2002	1336	24	952	21	0
1/1/2003	3816	77	1571	41	0
1/1/2004	8167	573	4449	723	0
1/1/2005	17514	1353	9882	2518	0
1/1/2006	24564	3148	13921	2614	0
1/1/2007	37407	8569	20190	6659	507
1/1/2008	46659	10195	20618	8941	2235
1/1/2009	45809	12057	23120	15401	2945
1/1/2010	41447	11839	18966	15229	6737
1/1/2011	30434	13024	18718	14113	14038
1/1/2012	26362	12335	25147	14373	19371
1/1/2013	33343	25188	41166	11650	30533
1/1/2014	10951	7249	14058	6579	23178
